"Mixture","TechRepMixture","Run","Channel","Protein","Abundance","BioReplicate","Condition"
"1","1_1","1_1_1","1","sp|P02943|LAMB_ECOLI",13.8409875333452,"1","treatment|0|2|4|20|4|2|2|4|2|2|4|40|5"
"1","1_1","1_1_1","1","sp|P03004|DNAA_ECOLI",14.1874178099786,"1","treatment|0|2|4|20|4|2|2|4|2|2|4|40|5"
"1","1_1","1_1_1","1","sp|P03007|DPO3E_ECOLI",13.1766213343682,"1","treatment|0|2|4|20|4|2|2|4|2|2|4|40|5"
"1","1_1","1_1_1","1","sp|P03018|UVRD_ECOLI",14.4333289018506,"1","treatment|0|2|4|20|4|2|2|4|2|2|4|40|5"
"1","1_1","1_1_1","1","sp|P03023|LACI_ECOLI",15.5471297890989,"1","treatment|0|2|4|20|4|2|2|4|2|2|4|40|5"
"1","1_1","1_1_1","1","sp|P03024|GALR_ECOLI",13.9544418818309,"1","treatment|0|2|4|20|4|2|2|4|2|2|4|40|5"
"1","1_1","1_1_1","1","sp|P03813|YGEA_ECOLI",14.5829971847781,"1","treatment|0|2|4|20|4|2|2|4|2|2|4|40|5"
"1","1_1","1_1_1","1","sp|P03817|MIOC_ECOLI",15.8090509143515,"1","treatment|0|2|4|20|4|2|2|4|2|2|4|40|5"
"1","1_1","1_1_1","1","sp|P03819|KEFC_ECOLI",13.8530426165108,"1","treatment|0|2|4|20|4|2|2|4|2|2|4|40|5"
"1","1_1","1_1_1","1","sp|P03835|INSG_ECOLI",13.5807207299775,"1","treatment|0|2|4|20|4|2|2|4|2|2|4|40|5"
"1","1_1","1_1_1","1","sp|P03841|MALM_ECOLI",15.4232184889995,"1","treatment|0|2|4|20|4|2|2|4|2|2|4|40|5"
"1","1_1","1_1_1","1","sp|P04036|DAPB_ECOLI",13.8407054466035,"1","treatment|0|2|4|20|4|2|2|4|2|2|4|40|5"
"1","1_1","1_1_1","1","sp|P04079|GUAA_ECOLI",14.9580444962177,"1","treatment|0|2|4|20|4|2|2|4|2|2|4|40|5"
"1","1_1","1_1_1","1","sp|P04395|3MG2_ECOLI",13.9312853283419,"1","treatment|0|2|4|20|4|2|2|4|2|2|4|40|5"
"1","1_1","1_1_1","1","sp|P04425|GSHB_ECOLI",14.3463617357822,"1","treatment|0|2|4|20|4|2|2|4|2|2|4|40|5"
"1","1_1","1_1_1","1","sp|P04693|TYRB_ECOLI",14.2413858840247,"1","treatment|0|2|4|20|4|2|2|4|2|2|4|40|5"
"1","1_1","1_1_1","1","sp|P04805|SYE_ECOLI",15.2004903950569,"1","treatment|0|2|4|20|4|2|2|4|2|2|4|40|5"
"1","1_1","1_1_1","1","sp|P04825|AMPN_ECOLI",15.3381038243898,"1","treatment|0|2|4|20|4|2|2|4|2|2|4|40|5"
"1","1_1","1_1_1","1","sp|P04846|NLPA_ECOLI",14.1955016100753,"1","treatment|0|2|4|20|4|2|2|4|2|2|4|40|5"
"1","1_1","1_1_1","1","sp|P04949|FLIC_ECOLI",13.3442294243634,"1","treatment|0|2|4|20|4|2|2|4|2|2|4|40|5"
"1","1_1","1_1_1","1","sp|P04951|KDSB_ECOLI",14.1295559424608,"1","treatment|0|2|4|20|4|2|2|4|2|2|4|40|5"
"1","1_1","1_1_1","1","sp|P04968|ILVA_ECOLI",14.2679667957802,"1","treatment|0|2|4|20|4|2|2|4|2|2|4|40|5"
"1","1_1","1_1_1","1","sp|P04982|RBSD_ECOLI",13.677725053919,"1","treatment|0|2|4|20|4|2|2|4|2|2|4|40|5"
"1","1_1","1_1_1","1","sp|P04983|RBSA_ECOLI",14.2693168169271,"1","treatment|0|2|4|20|4|2|2|4|2|2|4|40|5"
"1","1_1","1_1_1","1","sp|P04993|RECD_ECOLI",14.8646244335893,"1","treatment|0|2|4|20|4|2|2|4|2|2|4|40|5"
"1","1_1","1_1_1","1","sp|P04994|EX7L_ECOLI",14.6072484970907,"1","treatment|0|2|4|20|4|2|2|4|2|2|4|40|5"
"1","1_1","1_1_1","1","sp|P04995|EX1_ECOLI",14.6771822268784,"1","treatment|0|2|4|20|4|2|2|4|2|2|4|40|5"
"1","1_1","1_1_1","1","sp|P05020|PYRC_ECOLI",15.0438418608597,"1","treatment|0|2|4|20|4|2|2|4|2|2|4|40|5"
"1","1_1","1_1_1","1","sp|P05041|PABB_ECOLI",13.7934842644787,"1","treatment|0|2|4|20|4|2|2|4|2|2|4|40|5"
"1","1_1","1_1_1","1","sp|P05042|FUMC_ECOLI",15.2708270961544,"1","treatment|0|2|4|20|4|2|2|4|2|2|4|40|5"
"1","1_1","1_1_1","1","sp|P05050|ALKB_ECOLI",14.1068522782339,"1","treatment|0|2|4|20|4|2|2|4|2|2|4|40|5"
"1","1_1","1_1_1","1","sp|P05052|APPY_ECOLI",14.0019304670903,"1","treatment|0|2|4|20|4|2|2|4|2|2|4|40|5"
"1","1_1","1_1_1","1","sp|P05055|PNP_ECOLI",14.9772613268841,"1","treatment|0|2|4|20|4|2|2|4|2|2|4|40|5"
"1","1_1","1_1_1","1","sp|P05089|ARGI1_HUMAN",14.3169741829123,"1","treatment|0|2|4|20|4|2|2|4|2|2|4|40|5"
"1","1_1","1_1_1","1","sp|P05100|3MG1_ECOLI",14.3989028431523,"1","treatment|0|2|4|20|4|2|2|4|2|2|4|40|5"
"1","1_1","1_1_1","1","sp|P05194|AROD_ECOLI",14.5068806486802,"1","treatment|0|2|4|20|4|2|2|4|2|2|4|40|5"
"1","1_1","1_1_1","1","sp|P05458|PTRA_ECOLI",14.2547401323641,"1","treatment|0|2|4|20|4|2|2|4|2|2|4|40|5"
"1","1_1","1_1_1","1","sp|P05459|PDXB_ECOLI",15.3616994862922,"1","treatment|0|2|4|20|4|2|2|4|2|2|4|40|5"
"1","1_1","1_1_1","1","sp|P05523|FPG_ECOLI",14.7111185665426,"1","treatment|0|2|4|20|4|2|2|4|2|2|4|40|5"
"1","1_1","1_1_1","1","sp|P05637|APAH_ECOLI",14.1227436257368,"1","treatment|0|2|4|20|4|2|2|4|2|2|4|40|5"
"1","1_1","1_1_1","1","sp|P05707|SRLD_ECOLI",14.1340380186486,"1","treatment|0|2|4|20|4|2|2|4|2|2|4|40|5"
"1","1_1","1_1_1","1","sp|P05719|T1SK_ECOLI",12.8400955767747,"1","treatment|0|2|4|20|4|2|2|4|2|2|4|40|5"
"1","1_1","1_1_1","1","sp|P05791|ILVD_ECOLI",15.3166627831863,"1","treatment|0|2|4|20|4|2|2|4|2|2|4|40|5"
"1","1_1","1_1_1","1","sp|P05793|ILVC_ECOLI",14.5122011589607,"1","treatment|0|2|4|20|4|2|2|4|2|2|4|40|5"
"1","1_1","1_1_1","1","sp|P05804|BGLR_ECOLI",14.2355802323884,"1","treatment|0|2|4|20|4|2|2|4|2|2|4|40|5"
"1","1_1","1_1_1","1","sp|P05825|FEPA_ECOLI",13.560285200145,"1","treatment|0|2|4|20|4|2|2|4|2|2|4|40|5"
"1","1_1","1_1_1","1","sp|P05827|ILVY_ECOLI",13.7884897600016,"1","treatment|0|2|4|20|4|2|2|4|2|2|4|40|5"
"1","1_1","1_1_1","1","sp|P05852|TSAD_ECOLI",15.6511014788826,"1","treatment|0|2|4|20|4|2|2|4|2|2|4|40|5"
"1","1_1","1_1_1","1","sp|P06129|BTUB_ECOLI",13.7684880706792,"1","treatment|0|2|4|20|4|2|2|4|2|2|4|40|5"
"1","1_1","1_1_1","1","sp|P06134|ADA_ECOLI",13.3114068957817,"1","treatment|0|2|4|20|4|2|2|4|2|2|4|40|5"
"1","1_1","1_1_1","1","sp|P06136|FTSQ_ECOLI",10.7813802312624,"1","treatment|0|2|4|20|4|2|2|4|2|2|4|40|5"
"1","1_1","1_1_1","1","sp|P06149|DLD_ECOLI",15.2411624128975,"1","treatment|0|2|4|20|4|2|2|4|2|2|4|40|5"
"1","1_1","1_1_1","1","sp|P06282|CDH_ECOLI",13.1377455080687,"1","treatment|0|2|4|20|4|2|2|4|2|2|4|40|5"
"1","1_1","1_1_1","1","sp|P06610|BTUE_ECOLI",13.5949458928728,"1","treatment|0|2|4|20|4|2|2|4|2|2|4|40|5"
"1","1_1","1_1_1","1","sp|P06611|BTUD_ECOLI",11.8315271825372,"1","treatment|0|2|4|20|4|2|2|4|2|2|4|40|5"
"1","1_1","1_1_1","1","sp|P06612|TOP1_ECOLI",14.4611526206776,"1","treatment|0|2|4|20|4|2|2|4|2|2|4|40|5"
"1","1_1","1_1_1","1","sp|P06616|ERA_ECOLI",14.9218366952015,"1","treatment|0|2|4|20|4|2|2|4|2|2|4|40|5"
"1","1_1","1_1_1","1","sp|P06709|BIRA_ECOLI",14.6221487791113,"1","treatment|0|2|4|20|4|2|2|4|2|2|4|40|5"
"1","1_1","1_1_1","1","sp|P06710|DPO3X_ECOLI",14.2350342213649,"1","treatment|0|2|4|20|4|2|2|4|2|2|4|40|5"
"1","1_1","1_1_1","1","sp|P06715|GSHR_ECOLI",14.7055532518656,"1","treatment|0|2|4|20|4|2|2|4|2|2|4|40|5"
"1","1_1","1_1_1","1","sp|P06720|AGAL_ECOLI",13.6722932752755,"1","treatment|0|2|4|20|4|2|2|4|2|2|4|40|5"
"1","1_1","1_1_1","1","sp|P06721|METC_ECOLI",13.7567239788277,"1","treatment|0|2|4|20|4|2|2|4|2|2|4|40|5"
"1","1_1","1_1_1","1","sp|P06733|ENOA_HUMAN",12.8103599548592,"1","treatment|0|2|4|20|4|2|2|4|2|2|4|40|5"
"1","1_1","1_1_1","1","sp|P06846|EBGR_ECOLI",14.6414345530553,"1","treatment|0|2|4|20|4|2|2|4|2|2|4|40|5"
"1","1_1","1_1_1","1","sp|P06959|ODP2_ECOLI",15.1105835527787,"1","treatment|0|2|4|20|4|2|2|4|2|2|4|40|5"
"1","1_1","1_1_1","1","sp|P06961|CCA_ECOLI",14.5986808008807,"1","treatment|0|2|4|20|4|2|2|4|2|2|4|40|5"
"1","1_1","1_1_1","1","sp|P06966|DICA_ECOLI",16.1260266202801,"1","treatment|0|2|4|20|4|2|2|4|2|2|4|40|5"
"1","1_1","1_1_1","1","sp|P06968|DUT_ECOLI",13.4565111389515,"1","treatment|0|2|4|20|4|2|2|4|2|2|4|40|5"
"1","1_1","1_1_1","1","sp|P06971|FHUA_ECOLI",14.3747844515471,"1","treatment|0|2|4|20|4|2|2|4|2|2|4|40|5"
"1","1_1","1_1_1","1","sp|P06974|FLIM_ECOLI",13.4746008652536,"1","treatment|0|2|4|20|4|2|2|4|2|2|4|40|5"
"1","1_1","1_1_1","1","sp|P06983|HEM3_ECOLI",13.804638334634,"1","treatment|0|2|4|20|4|2|2|4|2|2|4|40|5"
"1","1_1","1_1_1","1","sp|P06986|HIS8_ECOLI",14.9736511026614,"1","treatment|0|2|4|20|4|2|2|4|2|2|4|40|5"
"1","1_1","1_1_1","1","sp|P06987|HIS7_ECOLI",14.6383500923192,"1","treatment|0|2|4|20|4|2|2|4|2|2|4|40|5"
"1","1_1","1_1_1","1","sp|P06988|HISX_ECOLI",14.7919351114773,"1","treatment|0|2|4|20|4|2|2|4|2|2|4|40|5"
"1","1_1","1_1_1","1","sp|P06989|HIS2_ECOLI",15.6694812102753,"1","treatment|0|2|4|20|4|2|2|4|2|2|4|40|5"
"1","1_1","1_1_1","1","sp|P06992|RSMA_ECOLI",16.5497396594523,"1","treatment|0|2|4|20|4|2|2|4|2|2|4|40|5"
"1","1_1","1_1_1","1","sp|P06993|MALT_ECOLI",14.1116898464705,"1","treatment|0|2|4|20|4|2|2|4|2|2|4|40|5"
"1","1_1","1_1_1","1","sp|P06996|OMPC_ECOLI",12.3929634812433,"1","treatment|0|2|4|20|4|2|2|4|2|2|4|40|5"
"1","1_1","1_1_1","1","sp|P06999|PFKB_ECOLI",13.3155127556399,"1","treatment|0|2|4|20|4|2|2|4|2|2|4|40|5"
"1","1_1","1_1_1","1","sp|P07000|PLDB_ECOLI",13.7175713697123,"1","treatment|0|2|4|20|4|2|2|4|2|2|4|40|5"
"1","1_1","1_1_1","1","sp|P07001|PNTA_ECOLI",14.2301031599717,"1","treatment|0|2|4|20|4|2|2|4|2|2|4|40|5"
"1","1_1","1_1_1","1","sp|P07003|POXB_ECOLI",15.1539152479444,"1","treatment|0|2|4|20|4|2|2|4|2|2|4|40|5"
"1","1_1","1_1_1","1","sp|P07012|RF2_ECOLI",14.9332109474104,"1","treatment|0|2|4|20|4|2|2|4|2|2|4|40|5"
"1","1_1","1_1_1","1","sp|P07013|PRIB_ECOLI",11.6433107668219,"1","treatment|0|2|4|20|4|2|2|4|2|2|4|40|5"
"1","1_1","1_1_1","1","sp|P07014|SDHB_ECOLI",14.8063249251491,"1","treatment|0|2|4|20|4|2|2|4|2|2|4|40|5"
"1","1_1","1_1_1","1","sp|P07017|MCP2_ECOLI",13.7565881283742,"1","treatment|0|2|4|20|4|2|2|4|2|2|4|40|5"
"1","1_1","1_1_1","1","sp|P07023|TYRA_ECOLI",14.3252724684275,"1","treatment|0|2|4|20|4|2|2|4|2|2|4|40|5"
"1","1_1","1_1_1","1","sp|P07024|USHA_ECOLI",14.4841225310386,"1","treatment|0|2|4|20|4|2|2|4|2|2|4|40|5"
"1","1_1","1_1_1","1","sp|P07026|SDIA_ECOLI",14.7493663049942,"1","treatment|0|2|4|20|4|2|2|4|2|2|4|40|5"
"1","1_1","1_1_1","1","sp|P07102|PPA_ECOLI",14.6106639462276,"1","treatment|0|2|4|20|4|2|2|4|2|2|4|40|5"
"1","1_1","1_1_1","1","sp|P07109|HISP_ECOLI",13.8214643117642,"1","treatment|0|2|4|20|4|2|2|4|2|2|4|40|5"
"1","1_1","1_1_1","1","sp|P07117|PUTP_ECOLI",12.6356701396843,"1","treatment|0|2|4|20|4|2|2|4|2|2|4|40|5"
"1","1_1","1_1_1","1","sp|P07118|SYV_ECOLI",14.6571960079653,"1","treatment|0|2|4|20|4|2|2|4|2|2|4|40|5"
"1","1_1","1_1_1","1","sp|P07330|CHEB_ECOLI",13.5422360506579,"1","treatment|0|2|4|20|4|2|2|4|2|2|4|40|5"
"1","1_1","1_1_1","1","sp|P07363|CHEA_ECOLI",12.7827749617203,"1","treatment|0|2|4|20|4|2|2|4|2|2|4|40|5"
"1","1_1","1_1_1","1","sp|P07395|SYFB_ECOLI",15.8265720655285,"1","treatment|0|2|4|20|4|2|2|4|2|2|4|40|5"
"1","1_1","1_1_1","1","sp|P07604|TYRR_ECOLI",14.8845842034724,"1","treatment|0|2|4|20|4|2|2|4|2|2|4|40|5"
"1","1_1","1_1_1","1","sp|P07639|AROB_ECOLI",14.583938851755,"1","treatment|0|2|4|20|4|2|2|4|2|2|4|40|5"
"1","1_1","1_1_1","1","sp|P07648|RECC_ECOLI",13.6621853762552,"1","treatment|0|2|4|20|4|2|2|4|2|2|4|40|5"
"1","1_1","1_1_1","1","sp|P07649|TRUA_ECOLI",13.7962605774455,"1","treatment|0|2|4|20|4|2|2|4|2|2|4|40|5"
"1","1_1","1_1_1","1","sp|P07650|TYPH_ECOLI",14.4742361831092,"1","treatment|0|2|4|20|4|2|2|4|2|2|4|40|5"
"1","1_1","1_1_1","1","sp|P07762|GLGB_ECOLI",14.5021483457572,"1","treatment|0|2|4|20|4|2|2|4|2|2|4|40|5"
"1","1_1","1_1_1","1","sp|P07813|SYL_ECOLI",14.9875735426287,"1","treatment|0|2|4|20|4|2|2|4|2|2|4|40|5"
"1","1_1","1_1_1","1","sp|P07821|FHUC_ECOLI",13.9772769744846,"1","treatment|0|2|4|20|4|2|2|4|2|2|4|40|5"
"1","1_1","1_1_1","1","sp|P07822|FHUD_ECOLI",12.4148945862071,"1","treatment|0|2|4|20|4|2|2|4|2|2|4|40|5"
"1","1_1","1_1_1","1","sp|P07862|DDLB_ECOLI",13.3509364951932,"1","treatment|0|2|4|20|4|2|2|4|2|2|4|40|5"
"1","1_1","1_1_1","1","sp|P07913|TDH_ECOLI",14.5349031941028,"1","treatment|0|2|4|20|4|2|2|4|2|2|4|40|5"
"1","1_1","1_1_1","1","sp|P08142|ILVB_ECOLI",14.0978481448316,"1","treatment|0|2|4|20|4|2|2|4|2|2|4|40|5"
"1","1_1","1_1_1","1","sp|P08178|PUR5_ECOLI",14.2540297924936,"1","treatment|0|2|4|20|4|2|2|4|2|2|4|40|5"
"1","1_1","1_1_1","1","sp|P08179|PUR3_ECOLI",13.9660048301434,"1","treatment|0|2|4|20|4|2|2|4|2|2|4|40|5"
"1","1_1","1_1_1","1","sp|P08192|FOLC_ECOLI",13.9986442515802,"1","treatment|0|2|4|20|4|2|2|4|2|2|4|40|5"
"1","1_1","1_1_1","1","sp|P08194|GLPT_ECOLI",15.5849788447213,"1","treatment|0|2|4|20|4|2|2|4|2|2|4|40|5"
"1","1_1","1_1_1","1","sp|P08200|IDH_ECOLI",15.9544986130933,"1","treatment|0|2|4|20|4|2|2|4|2|2|4|40|5"
"1","1_1","1_1_1","1","sp|P08201|NIRB_ECOLI",13.7651824780408,"1","treatment|0|2|4|20|4|2|2|4|2|2|4|40|5"
"1","1_1","1_1_1","1","sp|P08202|ARAA_ECOLI",14.8676952414492,"1","treatment|0|2|4|20|4|2|2|4|2|2|4|40|5"
"1","1_1","1_1_1","1","sp|P08204|ARAB_ECOLI",13.781154020615,"1","treatment|0|2|4|20|4|2|2|4|2|2|4|40|5"
"1","1_1","1_1_1","1","sp|P08244|PYRF_ECOLI",14.8085549415941,"1","treatment|0|2|4|20|4|2|2|4|2|2|4|40|5"
"1","1_1","1_1_1","1","sp|P08245|YCIH_ECOLI",15.3863605500971,"1","treatment|0|2|4|20|4|2|2|4|2|2|4|40|5"
"1","1_1","1_1_1","1","sp|P08312|SYFA_ECOLI",15.1287832874064,"1","treatment|0|2|4|20|4|2|2|4|2|2|4|40|5"
"1","1_1","1_1_1","1","sp|P08331|CPDB_ECOLI",15.1213082700914,"1","treatment|0|2|4|20|4|2|2|4|2|2|4|40|5"
"1","1_1","1_1_1","1","sp|P08337|MUTT_ECOLI",12.0454088411611,"1","treatment|0|2|4|20|4|2|2|4|2|2|4|40|5"
"1","1_1","1_1_1","1","sp|P08368|CREB_ECOLI",14.5880115177896,"1","treatment|0|2|4|20|4|2|2|4|2|2|4|40|5"
"1","1_1","1_1_1","1","sp|P08373|MURB_ECOLI",13.9426010222677,"1","treatment|0|2|4|20|4|2|2|4|2|2|4|40|5"
"1","1_1","1_1_1","1","sp|P08390|USG_ECOLI",14.5258634810638,"1","treatment|0|2|4|20|4|2|2|4|2|2|4|40|5"
"1","1_1","1_1_1","1","sp|P08394|RECB_ECOLI",13.7616199752659,"1","treatment|0|2|4|20|4|2|2|4|2|2|4|40|5"
"1","1_1","1_1_1","1","sp|P08395|SPPA_ECOLI",12.6280672210538,"1","treatment|0|2|4|20|4|2|2|4|2|2|4|40|5"
"1","1_1","1_1_1","1","sp|P08401|CREC_ECOLI",12.0050813793819,"1","treatment|0|2|4|20|4|2|2|4|2|2|4|40|5"
