	pValue	qValue	EffectSize	X.UPS1.UPS2.	significant	GeneName	UniprotID	protein
21	6.23965769989246e-12	4.132733283228771e-09	7.61161188967282	UPS1-UPS2	Upregulated	FABPH_HUMAN	P05413ups	P05413ups|FABPH_HUMAN_UPS
22	1.70186431514142e-10	3.07418581289636e-08	4.10842758435621	UPS1-UPS2	Upregulated	KCRM_HUMAN	P06732ups	P06732ups|KCRM_HUMAN_UPS
23	1.23357361044437e-12	1.2255553819764901e-09	7.91852967443569	UPS1-UPS2	Upregulated	GSTA1_HUMAN	P08263ups	P08263ups|GSTA1_HUMAN_UPS
24	1.25533544477351e-07	8.90839831701771e-06	11.205168401204	UPS1-UPS2	Upregulated	ANXA5_HUMAN	P08758ups	P08758ups|ANXA5_HUMAN_UPS
25	9.36382853507099e-08	6.89108418488373e-06	7.15960408039194	UPS1-UPS2	Upregulated	GSTP1_HUMAN	P09211ups	P09211ups|GSTP1_HUMAN_UPS
26	7.35994104099628e-08	5.6246934032537e-06	7.1742897169223	UPS1-UPS2	Upregulated	IL8_HUMAN	P10145ups	P10145ups|IL8_HUMAN_UPS
27	1.7995334867736897e-11	7.1513460764386504e-09	8.45924635170964	UPS1-UPS2	Upregulated	THIO_HUMAN	P10599ups	P10599ups|THIO_HUMAN_UPS
28	2.3680267668764403e-09	3.13684612385565e-07	10.6877449253564	UPS1-UPS2	Upregulated	TAU_HUMAN	P10636-8ups	P10636-8ups|TAU_HUMAN_UPS
29	5.8118420549314296e-11	1.49150689188388e-08	4.14372252535659	UPS1-UPS2	Upregulated	SYHC_HUMAN	P12081ups	P12081ups|SYHC_HUMAN_UPS
30	4.71233713240695e-06	0.0002530652400565	1.14607147559306	UPS1-UPS2	Upregulated	NQO1_HUMAN	P15559ups	P15559ups|NQO1_HUMAN_UPS
31	8.3897051175629e-09	8.33517203429875e-07	3.98236000501006	UPS1-UPS2	Upregulated	NQO2_HUMAN	P16083ups	P16083ups|NQO2_HUMAN_UPS
32	1.49636546363879e-08	1.41584675059537e-06	-1.83496416600982	UPS1-UPS2	Downregulated	LEP_HUMAN	P41159ups	P41159ups|LEP_HUMAN_UPS
33	6.94490401456657e-06	0.0003449881069235	5.68802412481535	UPS1-UPS2	Upregulated	UB2E1_HUMAN	P51965ups	P51965ups|UB2E1_HUMAN_UPS
34	1.3371677194557898e-11	6.642380646396611e-09	8.31110633139692	UPS1-UPS2	Upregulated	BID_HUMAN	P55957ups	P55957ups|BID_HUMAN_UPS
35	1.40222891004987e-09	1.99016346019221e-07	4.24790294635141	UPS1-UPS2	Upregulated	LYSC_HUMAN	P61626ups	P61626ups|LYSC_HUMAN_UPS
36	2.48252963859635e-08	2.24217563267771e-06	8.17390317193792	UPS1-UPS2	Upregulated	B2MG_HUMAN	P61769ups	P61769ups|B2MG_HUMAN_UPS
37	0.0006745509653643	0.0311705294925356	0.850203964736387	UPS1-UPS2	Non significant	PPIA_HUMAN	P62937ups	P62937ups|PPIA_HUMAN_UPS
38	4.20349576728739e-07	2.38638459702858e-05	-1.96877386034109	UPS1-UPS2	Downregulated	UBIQ_HUMAN	P62988ups	P62988ups|UBIQ_HUMAN_UPS
39	4.95551606701318e-06	0.0002591213269777	1.03012263001354	UPS1-UPS2	Upregulated	SUMO1_HUMAN	P63165ups	P63165ups|SUMO1_HUMAN_UPS
40	1.3486052535139502e-09	1.99016346019221e-07	3.9993623371003	UPS1-UPS2	Upregulated	UBC9_HUMAN	P63279ups	P63279ups|UBC9_HUMAN_UPS
41	1.49726774218408e-07	1.02588655300682e-05	-1.45286772368632	UPS1-UPS2	Downregulated	HBB_HUMAN	P68871ups	P68871ups|HBB_HUMAN_UPS
42	1.80841694872114e-07	1.15913692809965e-05	-1.75437960604256	UPS1-UPS2	Downregulated	HBA_HUMAN	P69905ups	P69905ups|HBA_HUMAN_UPS
43	1.56555168828444e-07	1.03691706820706e-05	6.30685026325249	UPS1-UPS2	Upregulated	CYC_HUMAN	P99999ups	P99999ups|CYC_HUMAN_UPS
44	5.84811892600716e-05	0.0027667172157086	0.616183467493187	UPS1-UPS2	Non significant	PRDX1_HUMAN	Q06830ups	Q06830ups|PRDX1_HUMAN_UPS
45	1.17062348115314e-10	2.58447650783477e-08	6.16970722192647	UPS1-UPS2	Upregulated	NEDD8_HUMAN	Q15843ups	Q15843ups|NEDD8_HUMAN_UPS
46	0.396464236642127	0.808622506421539	-0.0799744360781958	UPS1-UPS2	Non significant	6PGD	P00350	sp|P00350|6PGD_ECOLI
47	0.983698199723749	0.998267784908626	0.001992435108697	UPS1-UPS2	Non significant	FRDA	P00363	sp|P00363|FRDA_ECOLI
48	0.218600507197801	0.773718573858482	-0.137815461277718	UPS1-UPS2	Non significant	DHE4	P00370	sp|P00370|DHE4_ECOLI
49	0.182567961624615	0.773718573858482	-0.150828630801847	UPS1-UPS2	Non significant	NDH	P00393	sp|P00393|NDH_ECOLI
50	0.984686202945403	0.998492567151631	-0.0015601958107467	UPS1-UPS2	Non significant	SODM	P00448	sp|P00448|SODM_ECOLI
51	0.593211217895835	0.88292935577455	-0.0484293141881267	UPS1-UPS2	Non significant	RIR1	P00452	sp|P00452|RIR1_ECOLI
52	0.921347791493337	0.975862506235214	0.0079516452223913	UPS1-UPS2	Non significant	PHSM	P00490	sp|P00490|PHSM_ECOLI
53	0.458266917608767	0.825596906125597	-0.0698027604644409	UPS1-UPS2	Non significant	AAT	P00509	sp|P00509|AAT_ECOLI
54	0.196325061459248	0.773718573858482	0.694460862959151	UPS1-UPS2	Non significant	KHSE	P00547	sp|P00547|KHSE_ECOLI
55	0.294648738146015	0.775453036683619	-0.159031364699445	UPS1-UPS2	Non significant	PTM3C	P00550	sp|P00550|PTM3C_ECOLI
56	0.870964826094768	0.955289907774978	-0.0151500487214129	UPS1-UPS2	Non significant	AK1H	P00561	sp|P00561|AK1H_ECOLI
57	0.809458828583618	0.929438730236888	-0.0462749727444773	UPS1-UPS2	Non significant	AK2H	P00562	sp|P00562|AK2H_ECOLI
58	0.146067017532444	0.773718573858482	0.226621966130033	UPS1-UPS2	Non significant	RPOD	P00579	sp|P00579|RPOD_ECOLI
59	0.750882148783833	0.911982169702614	-0.0234567626746127	UPS1-UPS2	Non significant	DPO1	P00582	sp|P00582|DPO1_ECOLI
60	0.755099946770892	0.914310538838368	0.0288433482053065	UPS1-UPS2	Non significant	PPB	P00634	sp|P00634|PPB_ECOLI
61	0.248337150548475	0.773718573858482	0.142457052920641	UPS1-UPS2	Non significant	BGAL	P00722	sp|P00722|BGAL_ECOLI
62	0.262183435904886	0.773718573858482	0.324935941494132	UPS1-UPS2	Non significant	LEP	P00803	sp|P00803|LEP_ECOLI
63	0.699136270203686	0.899706445905837	-0.0459610283113676	UPS1-UPS2	Non significant	ASPG2	P00805	sp|P00805|ASPG2_ECOLI
64	0.668180359721762	0.899706445905837	-0.0937268950909278	UPS1-UPS2	Non significant	AMPC	P00811	sp|P00811|AMPC_ECOLI
65	0.395420157338226	0.808375512681859	0.0896970443687195	UPS1-UPS2	Non significant	CAPP	P00864	sp|P00864|CAPP_ECOLI
66	0.857541140228933	0.950476139030367	0.0177792123025888	UPS1-UPS2	Non significant	AROH	P00887	sp|P00887|AROH_ECOLI
67	0.149078601729781	0.773718573858482	0.400209681742172	UPS1-UPS2	Non significant	ILVH	P00894	sp|P00894|ILVH_ECOLI
68	0.327611520130041	0.79160308305356	0.138791077527085	UPS1-UPS2	Non significant	TRPE	P00895	sp|P00895|TRPE_ECOLI
69	0.253779657560417	0.773718573858482	0.181660817430753	UPS1-UPS2	Non significant	TRPGD	P00904	sp|P00904|TRPGD_ECOLI
70	0.624561543674628	0.892808480058623	0.08572674697254	UPS1-UPS2	Non significant	TRPC	P00909	sp|P00909|TRPC_ECOLI
71	0.189414100122748	0.773718573858482	-0.156989867801915	UPS1-UPS2	Non significant	SDHD	P00926	sp|P00926|SDHD_ECOLI
72	0.564116507517961	0.873532510039676	-0.061539379319413	UPS1-UPS2	Non significant	THRC	P00934	sp|P00934|THRC_ECOLI
73	0.746654319811858	0.909973196931463	0.0447881410211259	UPS1-UPS2	Non significant	METB	P00935	sp|P00935|METB_ECOLI
74	0.258765822541276	0.773718573858482	-0.149690639778914	UPS1-UPS2	Non significant	XYLA	P00944	sp|P00944|XYLA_ECOLI
75	0.341068768971863	0.794494307089206	-0.145067187001118	UPS1-UPS2	Non significant	MANA	P00946	sp|P00946|MANA_ECOLI
76	0.237110815597962	0.773718573858482	-0.265162481715201	UPS1-UPS2	Non significant	SYW	P00954	sp|P00954|SYW_ECOLI
77	0.930990170342459	0.97808823373725	-0.0066149549390033	UPS1-UPS2	Non significant	SYI	P00956	sp|P00956|SYI_ECOLI
78	0.631874606247786	0.894905468707311	0.0425933627267838	UPS1-UPS2	Non significant	SYA	P00957	sp|P00957|SYA_ECOLI
79	0.273326662473835	0.773718573858482	-0.155497493905692	UPS1-UPS2	Non significant	SYM	P00959	sp|P00959|SYM_ECOLI
80	0.135252748725066	0.773718573858482	-0.244549400863683	UPS1-UPS2	Non significant	SYGA	P00960	sp|P00960|SYGA_ECOLI
81	0.0960932974583107	0.773718573858482	-0.189555470429383	UPS1-UPS2	Non significant	SYGB	P00961	sp|P00961|SYGB_ECOLI
82	0.143104945417043	0.773718573858482	-0.156837262216786	UPS1-UPS2	Non significant	SYQ	P00962	sp|P00962|SYQ_ECOLI
83	0.742698399490187	0.908364311914564	0.0338748757518168	UPS1-UPS2	Non significant	ASNA	P00963	sp|P00963|ASNA_ECOLI
84	0.810622611624512	0.929438730236888	-0.0202505473813765	UPS1-UPS2	Non significant	CARB	P00968	sp|P00968|CARB_ECOLI
85	0.947681121616545	0.981825342733334	0.0086330565913783	UPS1-UPS2	Non significant	RS6	P02358	sp|P02358|RS6_ECOLI
86	0.935450149090646	0.978283919075323	0.011395028245758	UPS1-UPS2	Non significant	RS7	P02359	sp|P02359|RS7_ECOLI
87	0.329880145952227	0.791717880047221	-0.151431695262097	UPS1-UPS2	Non significant	RL15	P02413	sp|P02413|RL15_ECOLI
88	0.440743476356337	0.824206058600803	-0.100504071280831	UPS1-UPS2	Non significant	MALF	P02916	sp|P02916|MALF_ECOLI
89	0.670973266698401	0.899706445905837	-0.0902675124355881	UPS1-UPS2	Non significant	PBPA	P02918	sp|P02918|PBPA_ECOLI
90	0.976086001519966	0.995191844963059	-0.0038587537109222	UPS1-UPS2	Non significant	PBPB	P02919	sp|P02919|PBPB_ECOLI
91	0.491989005437329	0.842743236037908	-0.08026905312434	UPS1-UPS2	Non significant	ARAF	P02924	sp|P02924|ARAF_ECOLI
92	0.950686592665364	0.981940971008179	0.0070927966566642	UPS1-UPS2	Non significant	RBSB	P02925	sp|P02925|RBSB_ECOLI
93	0.0911496149861421	0.773718573858482	1.31225412890203	UPS1-UPS2	Non significant	TONB	P02929	sp|P02929|TONB_ECOLI
94	0.253198436721515	0.773718573858482	-0.1388967642118	UPS1-UPS2	Non significant	TOLC	P02930	sp|P02930|TOLC_ECOLI
95	0.442709752550967	0.82487136528371	0.122740483245394	UPS1-UPS2	Non significant	OMPF	P02931	sp|P02931|OMPF_ECOLI
96	0.129874959955991	0.773718573858482	-0.296090479120565	UPS1-UPS2	Non significant	LAMB	P02943	sp|P02943|LAMB_ECOLI
97	0.563476977863256	0.873532510039676	0.151528500106494	UPS1-UPS2	Non significant	DNAA	P03004	sp|P03004|DNAA_ECOLI
98	0.457979114786439	0.825596906125597	-0.146692528315455	UPS1-UPS2	Non significant	UVRD	P03018	sp|P03018|UVRD_ECOLI
99	0.553018677893796	0.872917590730293	0.094631178353815	UPS1-UPS2	Non significant	LACI	P03023	sp|P03023|LACI_ECOLI
100	0.600447515236714	0.885832577552235	0.0655972872337607	UPS1-UPS2	Non significant	YGEA	P03813	sp|P03813|YGEA_ECOLI
101	0.824475388442112	0.935598284885481	-0.0428859980275789	UPS1-UPS2	Non significant	MIOC	P03817	sp|P03817|MIOC_ECOLI
102	0.914486985334754	0.973954099416503	-0.0338502699509604	UPS1-UPS2	Non significant	KEFC	P03819	sp|P03819|KEFC_ECOLI
103	0.295192713092696	0.775587620211931	-0.226258181040031	UPS1-UPS2	Non significant	MALM	P03841	sp|P03841|MALM_ECOLI
104	0.776066045723219	0.918976896812894	-0.0407554435794992	UPS1-UPS2	Non significant	DAPB	P04036	sp|P04036|DAPB_ECOLI
105	0.188878932215403	0.773718573858482	-0.259842495677304	UPS1-UPS2	Non significant	GUAA	P04079	sp|P04079|GUAA_ECOLI
106	0.254427528616772	0.773718573858482	-0.230635872713588	UPS1-UPS2	Non significant	FIMA1	P04128	sp|P04128|FIMA1_ECOLI
107	0.803004709867946	0.929143466112808	0.0316469698056387	UPS1-UPS2	Non significant	FRSA	P04335	sp|P04335|FRSA_ECOLI
108	0.323043757482784	0.78918702239053	-0.140684874114147	UPS1-UPS2	Non significant	GSHB	P04425	sp|P04425|GSHB_ECOLI
109	0.457355851225205	0.825596906125597	-0.079744003949159	UPS1-UPS2	Non significant	TYRB	P04693	sp|P04693|TYRB_ECOLI
110	0.895412585167352	0.9658983749878	-0.0096368224835998	UPS1-UPS2	Non significant	SYE	P04805	sp|P04805|SYE_ECOLI
111	0.0782858248052799	0.773718573858482	0.771406303738964	UPS1-UPS2	Non significant	LIVK	P04816	sp|P04816|LIVK_ECOLI
112	0.221475854601719	0.773718573858482	-0.130284966632345	UPS1-UPS2	Non significant	AMPN	P04825	sp|P04825|AMPN_ECOLI
113	0.875458003495398	0.95581398050523	0.0212527786602728	UPS1-UPS2	Non significant	NLPA	P04846	sp|P04846|NLPA_ECOLI
114	0.934770788055882	0.97808823373725	-0.0061390570410822	UPS1-UPS2	Non significant	KDSB	P04951	sp|P04951|KDSB_ECOLI
115	0.169149776377537	0.773718573858482	0.963991594904122	UPS1-UPS2	Non significant	ILVA	P04968	sp|P04968|ILVA_ECOLI
116	0.805805445737248	0.929143466112808	-0.0387781033965737	UPS1-UPS2	Non significant	RBSD	P04982	sp|P04982|RBSD_ECOLI
117	0.662582231692527	0.899706445905837	-0.033501489018434	UPS1-UPS2	Non significant	RBSA	P04983	sp|P04983|RBSA_ECOLI
118	0.819041347390643	0.933057802158984	0.0392887377043678	UPS1-UPS2	Non significant	EX7L	P04994	sp|P04994|EX7L_ECOLI
119	0.995477491458169	0.998492567151631	-0.0009935990295915	UPS1-UPS2	Non significant	EX1	P04995	sp|P04995|EX1_ECOLI
120	0.206574636989966	0.773718573858482	-0.122124918437091	UPS1-UPS2	Non significant	PYRC	P05020	sp|P05020|PYRC_ECOLI
121	0.386552869444928	0.806627124279873	-0.101471716302203	UPS1-UPS2	Non significant	PABB	P05041	sp|P05041|PABB_ECOLI
122	0.200503705497337	0.773718573858482	-0.166895544077306	UPS1-UPS2	Non significant	FUMC	P05042	sp|P05042|FUMC_ECOLI
123	0.062659860603967	0.773718573858482	-0.273832644585909	UPS1-UPS2	Non significant	PNP	P05055	sp|P05055|PNP_ECOLI
124	0.0720939370798006	0.773718573858482	1.60809283926499	UPS1-UPS2	Non significant	3MG1	P05100	sp|P05100|3MG1_ECOLI
125	0.577090971937371	0.875340100451799	-0.0604502194956993	UPS1-UPS2	Non significant	AROD	P05194	sp|P05194|AROD_ECOLI
126	0.305947321944509	0.781384741264447	-0.115273067404313	UPS1-UPS2	Non significant	PTRA	P05458	sp|P05458|PTRA_ECOLI
127	0.973326407026231	0.993833284049908	0.0043445576688867	UPS1-UPS2	Non significant	PDXB	P05459	sp|P05459|PDXB_ECOLI
128	0.547278708633345	0.872399232134481	0.224592197609173	UPS1-UPS2	Non significant	FPG	P05523	sp|P05523|FPG_ECOLI
129	0.358317408106739	0.796394507727171	0.234473698713302	UPS1-UPS2	Non significant	APAH	P05637	sp|P05637|APAH_ECOLI
130	0.79547055873674	0.929143466112808	-0.0455528267404333	UPS1-UPS2	Non significant	MCP3	P05704	sp|P05704|MCP3_ECOLI
131	0.444417338830717	0.82487136528371	-0.136810235155249	UPS1-UPS2	Non significant	SRLD	P05707	sp|P05707|SRLD_ECOLI
132	0.675458499505555	0.899706445905837	-0.0660928951716997	UPS1-UPS2	Non significant	ILVD	P05791	sp|P05791|ILVD_ECOLI
133	0.336171904331606	0.79416408958303	-0.182133471557897	UPS1-UPS2	Non significant	ILVC	P05793	sp|P05793|ILVC_ECOLI
134	0.138105975049253	0.773718573858482	-0.233170019797026	UPS1-UPS2	Non significant	BGLR	P05804	sp|P05804|BGLR_ECOLI
135	0.114647764063692	0.773718573858482	0.48014697318694	UPS1-UPS2	Non significant	FEPA	P05825	sp|P05825|FEPA_ECOLI
136	0.93380792320094	0.97808823373725	0.0096861674714503	UPS1-UPS2	Non significant	TSAD	P05852	sp|P05852|TSAD_ECOLI
137	0.479503280465365	0.833039161096428	-0.111577376699202	UPS1-UPS2	Non significant	BTUB	P06129	sp|P06129|BTUB_ECOLI
138	0.0630113058923315	0.773718573858482	-0.167174829063157	UPS1-UPS2	Non significant	DLD	P06149	sp|P06149|DLD_ECOLI
139	0.192170061337268	0.773718573858482	-0.216549780839824	UPS1-UPS2	Non significant	CDH	P06282	sp|P06282|CDH_ECOLI
140	0.104195401031459	0.773718573858482	-0.367031525556257	UPS1-UPS2	Non significant	BTUE	P06610	sp|P06610|BTUE_ECOLI
141	0.435777804651354	0.824206058600803	-0.0646094911935791	UPS1-UPS2	Non significant	TOP1	P06612	sp|P06612|TOP1_ECOLI
142	0.99213565287632	0.998492567151631	-0.0026944141584479	UPS1-UPS2	Non significant	ERA	P06616	sp|P06616|ERA_ECOLI
143	0.781820095880776	0.922633730642218	-0.0353101109786209	UPS1-UPS2	Non significant	BIRA	P06709	sp|P06709|BIRA_ECOLI
144	0.783553295701654	0.922892945204023	-0.0403978266002767	UPS1-UPS2	Non significant	DPO3X	P06710	sp|P06710|DPO3X_ECOLI
145	0.0856668972583761	0.773718573858482	-0.347053019727916	UPS1-UPS2	Non significant	GSHR	P06715	sp|P06715|GSHR_ECOLI
146	0.290925678013438	0.773718573858482	0.10132255301437	UPS1-UPS2	Non significant	AGAL	P06720	sp|P06720|AGAL_ECOLI
147	0.15909220952882	0.773718573858482	-0.398693430834385	UPS1-UPS2	Non significant	METC	P06721	sp|P06721|METC_ECOLI
148	0.203567265051755	0.773718573858482	0.643295513248404	UPS1-UPS2	Non significant	EBGR	P06846	sp|P06846|EBGR_ECOLI
149	0.222885996427231	0.773718573858482	-0.113428391417052	UPS1-UPS2	Non significant	ODP2	P06959	sp|P06959|ODP2_ECOLI
150	0.561739606506331	0.873532510039676	0.0766793797952872	UPS1-UPS2	Non significant	CCA	P06961	sp|P06961|CCA_ECOLI
151	0.027211109214163	0.773718573858482	-0.35864007777456	UPS1-UPS2	Non significant	DICA	P06966	sp|P06966|DICA_ECOLI
152	0.0785233108363262	0.773718573858482	-0.473898592704444	UPS1-UPS2	Non significant	DUT	P06968	sp|P06968|DUT_ECOLI
153	0.690120824365941	0.899706445905837	0.0339673922555264	UPS1-UPS2	Non significant	FHUA	P06971	sp|P06971|FHUA_ECOLI
154	0.2365011165139	0.773718573858482	-0.146735840805221	UPS1-UPS2	Non significant	HEM3	P06983	sp|P06983|HEM3_ECOLI
155	0.353971292977303	0.795284623614252	-0.191425882206332	UPS1-UPS2	Non significant	HIS8	P06986	sp|P06986|HIS8_ECOLI
156	0.301514973069704	0.779140663088274	-0.238433315764709	UPS1-UPS2	Non significant	HIS7	P06987	sp|P06987|HIS7_ECOLI
157	0.979839518669086	0.996387473692669	-0.0035907011402862	UPS1-UPS2	Non significant	HISX	P06988	sp|P06988|HISX_ECOLI
158	0.331370858917745	0.791717880047221	-0.131406790290814	UPS1-UPS2	Non significant	HIS2	P06989	sp|P06989|HIS2_ECOLI
159	0.774589951966041	0.918925686074248	0.0543117366148067	UPS1-UPS2	Non significant	RSMA	P06992	sp|P06992|RSMA_ECOLI
160	0.135036995718203	0.773718573858482	-0.230455545146555	UPS1-UPS2	Non significant	MALT	P06993	sp|P06993|MALT_ECOLI
161	0.59729060499245	0.885023439313944	0.0764892008014328	UPS1-UPS2	Non significant	OMPC	P06996	sp|P06996|OMPC_ECOLI
162	0.115179204539623	0.773718573858482	-0.205951614905771	UPS1-UPS2	Non significant	PFKB	P06999	sp|P06999|PFKB_ECOLI
163	0.52576516217764	0.861959882216973	0.117820831927322	UPS1-UPS2	Non significant	PLDB	P07000	sp|P07000|PLDB_ECOLI
164	0.0093750858860526	0.380169299093603	-0.314692695701709	UPS1-UPS2	Non significant	PNTA	P07001	sp|P07001|PNTA_ECOLI
165	0.210350137800869	0.773718573858482	-0.112654631529907	UPS1-UPS2	Non significant	POXB	P07003	sp|P07003|POXB_ECOLI
166	0.828267433522751	0.935853103176967	-0.0207525396519657	UPS1-UPS2	Non significant	PROA	P07004	sp|P07004|PROA_ECOLI
167	0.405736367543336	0.812693630205297	-0.137352596528672	UPS1-UPS2	Non significant	RF2	P07012	sp|P07012|RF2_ECOLI
168	0.51905346357446	0.860529634479669	0.0617261659873662	UPS1-UPS2	Non significant	SDHB	P07014	sp|P07014|SDHB_ECOLI
169	0.187493002869418	0.773718573858482	0.232233367894821	UPS1-UPS2	Non significant	MCP2	P07017	sp|P07017|MCP2_ECOLI
170	0.0890866888334414	0.773718573858482	-0.18981146758955	UPS1-UPS2	Non significant	TYRA	P07023	sp|P07023|TYRA_ECOLI
171	0.237025603088428	0.773718573858482	-0.212461166762775	UPS1-UPS2	Non significant	USHA	P07024	sp|P07024|USHA_ECOLI
172	0.493895988605218	0.84353602291005	-0.122326917020718	UPS1-UPS2	Non significant	PPA	P07102	sp|P07102|PPA_ECOLI
173	0.574093483263864	0.875340100451799	0.114274355722841	UPS1-UPS2	Non significant	HISP	P07109	sp|P07109|HISP_ECOLI
174	0.613234055135867	0.889225570233269	0.103148165190134	UPS1-UPS2	Non significant	PUTP	P07117	sp|P07117|PUTP_ECOLI
175	0.212398245897104	0.773718573858482	-0.165831738477124	UPS1-UPS2	Non significant	SYV	P07118	sp|P07118|SYV_ECOLI
176	0.320655511332676	0.78918702239053	-0.0929257372942658	UPS1-UPS2	Non significant	SYFB	P07395	sp|P07395|SYFB_ECOLI
177	0.640783639156703	0.897730908181342	0.0478383868004002	UPS1-UPS2	Non significant	TYRR	P07604	sp|P07604|TYRR_ECOLI
178	0.222916709513947	0.773718573858482	-0.215177352825059	UPS1-UPS2	Non significant	AROB	P07639	sp|P07639|AROB_ECOLI
179	0.611699452265589	0.889225570233269	0.17271374351985	UPS1-UPS2	Non significant	RECC	P07648	sp|P07648|RECC_ECOLI
180	0.667109257922522	0.899706445905837	-0.0458428285740666	UPS1-UPS2	Non significant	TYPH	P07650	sp|P07650|TYPH_ECOLI
181	0.14661850639882	0.773718573858482	0.212099069939569	UPS1-UPS2	Non significant	PSTA	P07654	sp|P07654|PSTA_ECOLI
182	0.543231913119126	0.86768634354317	-0.0886985187934393	UPS1-UPS2	Non significant	GLGB	P07762	sp|P07762|GLGB_ECOLI
183	0.269410646077215	0.773718573858482	-0.103924299270915	UPS1-UPS2	Non significant	SYL	P07813	sp|P07813|SYL_ECOLI
184	0.686566676322941	0.899706445905837	0.0482533867539061	UPS1-UPS2	Non significant	DDLB	P07862	sp|P07862|DDLB_ECOLI
185	0.14850706480323	0.773718573858482	-0.278328560867308	UPS1-UPS2	Non significant	TDH	P07913	sp|P07913|TDH_ECOLI
186	0.425782469741714	0.822540543956821	-0.111186166395804	UPS1-UPS2	Non significant	ILVB	P08142	sp|P08142|ILVB_ECOLI
187	0.801685013401732	0.929143466112808	-0.0405600302764064	UPS1-UPS2	Non significant	PUR5	P08178	sp|P08178|PUR5_ECOLI
188	0.304717805367027	0.781257134534559	-0.594990209511323	UPS1-UPS2	Non significant	PUR3	P08179	sp|P08179|PUR3_ECOLI
189	0.261471144404295	0.773718573858482	-0.576358897313451	UPS1-UPS2	Non significant	FIMG	P08190	sp|P08190|FIMG_ECOLI
190	0.166052956716784	0.773718573858482	-0.265040512198873	UPS1-UPS2	Non significant	FIMH	P08191	sp|P08191|FIMH_ECOLI
