LFQ intensity 1_1	LFQ intensity 1_2	LFQ intensity 1_3	LFQ intensity 1_4	LFQ intensity 1_5	LFQ intensity 1_6	LFQ intensity 10_1	LFQ intensity 10_2	LFQ intensity 10_3	LFQ intensity 10_4	LFQ intensity 10_5	LFQ intensity 10_6	LFQ intensity 4_1	LFQ intensity 4_2	LFQ intensity 4_3	LFQ intensity 4_4	LFQ intensity 4_5	LFQ intensity 4_6	Only identified by site	Reverse	Potential contaminant	Student's T-test Significant fold10_fold1	Student's T-test significant	Peptides	Razor + unique peptides	Unique peptides	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Q-value	Score	Intensity	MS/MS count	-Log Student's T-test p-value fold10_fold1	Student's T-test q-value fold10_fold1	Student's T-test Difference fold10_fold1	Student's T-test Test statistic fold10_fold1	Protein IDs	Majority protein IDs	id
23.20311546	23.06614685	22.25214005	23.03461266	22.85255241	22.52581787	22.21545601	22.81345749	20.59878349	21.99737358	22.05037117	20.73340797	22.92375946	23.14583588	21.56403732	21.78849983	20.32674026	21.01906586						1	1	1	9.5	9.5	9.5	12.763	0	21.574	13209000	14	NaN	NaN	0	NaN	sp|Q9UEU5|GGE2D_HUMAN;sp|Q6NT46|GAG2A_HUMAN;sp|Q13066|GAG2B_HUMAN;sp|Q4V321|GAG13_HUMAN;sp|Q13070|GAGE6_HUMAN;sp|Q13069|GAGE5_HUMAN;sp|P0DSO3|GAGE4_HUMAN;sp|P0CL82|GG12I_HUMAN;sp|P0CL81|GG12G_HUMAN;sp|P0CL80|GG12F_HUMAN;sp|O76087|GAGE7_HUMAN;sp|A6NDE8|GG12H_HUMAN;sp|A1L429|GG12C_HUMAN	sp|Q9UEU5|GGE2D_HUMAN;sp|Q6NT46|GAG2A_HUMAN;sp|Q13066|GAG2B_HUMAN;sp|Q4V321|GAG13_HUMAN;sp|Q13070|GAGE6_HUMAN;sp|Q13069|GAGE5_HUMAN;sp|P0DSO3|GAGE4_HUMAN;sp|P0CL82|GG12I_HUMAN;sp|P0CL81|GG12G_HUMAN;sp|P0CL80|GG12F_HUMAN;sp|O76087|GAGE7_HUMAN;sp|A6NDE8|GG12H_HUMAN;sp|A1L429|GG12C_HUMAN	175
22.64755249	21.74961662	22.31563377	21.35751724	22.91566849	22.73067665	21.42601204	23.31773376	22.52361488	22.40790176	21.91460609	19.86778831	23.06787872	22.31119347	22.58172035	21.99442101	21.48085594	22.95937729						1	1	1	3.5	3.5	3.5	33.43	0	3.7782	71605000	11	NaN	NaN	0	NaN	sp|A1XBS5|CBAR1_HUMAN	sp|A1XBS5|CBAR1_HUMAN	176
22.05161476	24.03355789	24.80921555	24.89458084	24.92084312	24.92583084	22.35621071	21.78651237	22.85344696	24.34190941	21.86339569	21.47496986	24.26334572	24.53866196	24.55449867	24.71077538	24.52432442	24.620924				+	fold10_fold1	3	3	3	6.7	6.7	6.7	68.771	0	19.291	270850000	37	1.79172161	0.032097262	-1.826533	-2.888307768	sp|A2A2Y4|FRMD3_HUMAN	sp|A2A2Y4|FRMD3_HUMAN	177
22.61322975	23.47616959	21.47193336	23.12578392	22.14858055	21.39182472	23.25704384	22.7007885	22.66486931	21.4939518	21.2709198	21.30986023	21.38284683	21.83320618	22.25688934	22.79009056	22.56856155	22.21219826						1	1	1	1.5	1.5	1.5	84.456	0.0039557	1.7824	36722000	11	NaN	NaN	0	NaN	sp|A2A3K4|PTPC1_HUMAN	sp|A2A3K4|PTPC1_HUMAN	178
24.58772087	25.24223518	25.10944557	24.8463726	24.41751099	24.80577469	23.17843246	23.27994347	22.37282753	23.52311897	21.49542809	22.3770504	23.38442802	23.56383705	23.05596352	21.61005402	22.35837555	21.51835823				+	fold10_fold1	2	2	2	1.8	1.8	1.8	62.633	0	9.4756	293170000	45	4.075120473	0.000334708	-2.130376498	-6.344456405	sp|Q99755|PI51A_HUMAN;sp|A2A3N6|PIPSL_HUMAN	sp|Q99755|PI51A_HUMAN;sp|A2A3N6|PIPSL_HUMAN	179
22.54336929	26.19833565	26.25576782	22.22670746	26.46199799	21.39699173	22.07546425	25.99787331	22.82957268	26.36974525	22.58355522	26.37856865	26.74765587	26.64375114	26.56067657	26.63685608	26.55647278	26.4340744						2	2	2	6.8	6.8	6.8	67.038	0	191.82	1043400000	37	0.053544022	0.907223918	0.191934903	0.149660904	sp|A2RU67|F234B_HUMAN	sp|A2RU67|F234B_HUMAN	181
23.34069252	22.56487083	23.52070236	21.9571991	21.60457039	22.15081787	22.35029793	24.82006836	22.83702278	23.28774071	22.0092411	23.56040573	21.36218452	21.11199188	22.18956566	23.09987259	21.1011467	21.00620842						2	2	2	2.4	2.4	2.4	154.31	0	15.02	406540000	25	NaN	NaN	0	NaN	sp|A3KN83|SBNO1_HUMAN	sp|A3KN83|SBNO1_HUMAN	182
22.31929398	22.04530144	21.89202881	22.70256233	22.6604557	21.23826218	21.70129776	22.4378109	22.7195282	21.25813103	22.28580475	21.68125153	22.7653656	22.6729908	22.35569382	22.11672592	21.62453079	21.54669952						1	1	1	2.7	2.7	2.7	83.343	0	6.2285	19300000	8	NaN	NaN	0	NaN	sp|A4D1P6|WDR91_HUMAN	sp|A4D1P6|WDR91_HUMAN	183
23.42247581	21.1726532	21.98319817	23.0038681	22.2640934	23.17119598	22.13770676	23.00433159	23.12493134	23.11572647	21.5400219	21.52715111	23.57352257	20.92049599	21.85148621	22.07066536	22.56037903	25.33080864						1	1	1	2.2	2.2	2.2	87.988	0	11.266	501370000	25	NaN	NaN	0	NaN	sp|Q8IX94|CTGE4_HUMAN;sp|Q86UF2|CTGE6_HUMAN;sp|P0CG41|CTGE8_HUMAN;sp|A4D2H0|CTGEF_HUMAN;sp|Q96PC5|MIA2_HUMAN	sp|Q8IX94|CTGE4_HUMAN;sp|Q86UF2|CTGE6_HUMAN;sp|P0CG41|CTGE8_HUMAN;sp|A4D2H0|CTGEF_HUMAN;sp|Q96PC5|MIA2_HUMAN	184
22.98812866	22.3945961	21.37351227	22.71469307	21.45386314	20.7653141	22.27571869	22.10204124	22.66507912	22.39259529	21.97680855	21.32012749	22.69204903	21.74913788	22.57467079	22.28650284	20.61079597	21.61486053						1	1	1	3.7	3.7	3.7	66.944	0	3.8535	10691000	6	NaN	NaN	0	NaN	sp|A4QPH2|PI4P2_HUMAN;sp|P42356|PI4KA_HUMAN	sp|A4QPH2|PI4P2_HUMAN;sp|P42356|PI4KA_HUMAN	185
23.77096558	26.1813736	26.22890663	26.44455338	25.53596687	26.34160423	25.82111549	25.57744217	25.62561226	25.86577797	25.53261185	25.65976143	26.00795746	25.73476982	26.02307892	25.83405304	25.91952515	26.11927605						3	3	3	1.5	1.5	1.5	293.88	0	5.9681	1496300000	75	0.060114067	0.894807775	-0.070174853	-0.166952813	sp|A6H8Y1|BDP1_HUMAN	sp|A6H8Y1|BDP1_HUMAN	186
24.84971619	24.63887215	24.10173416	22.51344872	24.08440018	24.049263	22.20296097	22.694767	20.89128304	22.66817474	23.16037178	24.05804634	23.84842682	22.42654037	21.26289749	22.98092842	21.33376884	22.03100204				+	fold10_fold1	2	2	2	1.1	1.1	1.1	90.834	0	3.9043	164380000	23	1.593854664	0.046666688	-1.426971753	-2.622758402	sp|A6ND36|FA83G_HUMAN	sp|A6ND36|FA83G_HUMAN	188
22.64686775	22.52751732	22.91967583	21.67338181	21.11782074	21.91976547	23.46450806	20.92203712	22.234478	22.21660423	22.07625198	21.59457588	22.71578979	22.83843422	22.89683151	22.33908653	22.86364555	22.07228088						1	1	1	2.5	2.5	2.5	71.695	0	9.8127	83996000	14	NaN	NaN	0	NaN	sp|A6NDB9|PALM3_HUMAN	sp|A6NDB9|PALM3_HUMAN	189
21.82831383	22.03252983	20.9546814	24.10836983	24.35729599	25.07916069	21.75656319	24.89924431	25.22875977	24.98845482	25.26288033	25.25187302	21.37887573	25.58141327	21.24695969	25.61099243	21.85384941	19.9238224						2	2	2	4.3	4.3	4.3	108.44	0	93.924	452560000	37	0.922370808	0.169107779	1.504570643	1.702066282	sp|A6NFI3|ZN316_HUMAN	sp|A6NFI3|ZN316_HUMAN	190
22.47830582	23.09876633	22.21274567	21.57402039	22.82710266	23.28155518	23.78586388	22.22567177	22.14489555	23.12673187	22.26735497	22.03012466	23.0758152	23.65910149	23.22532082	20.69839096	22.68909264	21.87751961						3	3	3	12	12	12	37.824	0	17.32	174050000	29	NaN	NaN	0	NaN	sp|A6NHT5|HMX3_HUMAN	sp|A6NHT5|HMX3_HUMAN	191
22.65104866	21.6054554	23.00510788	22.79247856	22.35362816	21.46484756	23.08844566	23.42507172	22.73004913	23.22161102	21.66212654	21.55487442	22.33250618	21.90137291	22.94615746	22.50463295	21.92509842	20.97903633						1	1	1	1.4	1.4	1.4	98.568	0	3.3257	19889000	7	NaN	NaN	0	NaN	sp|A6NI28|RHG42_HUMAN	sp|A6NI28|RHG42_HUMAN	192
23.92099953	22.26681519	22.23984909	21.90380096	21.93409538	22.11553764	22.20614243	22.02080536	22.87308311	22.41758537	22.38148689	22.13462257	22.58640671	21.05383873	21.0759182	22.04623604	22.31995964	20.20887375						1	1	1	0.9	0.9	0.9	188.26	0.00041632	2.4044	39079000	9	NaN	NaN	0	NaN	sp|A6NMS7|L37A1_HUMAN;sp|A6NM11|L37A2_HUMAN	sp|A6NMS7|L37A1_HUMAN;sp|A6NM11|L37A2_HUMAN	193
22.59672356	22.62537384	22.63414192	22.52727127	23.28643608	21.41187859	23.89060211	21.7476635	23.05049706	22.91934776	21.52485275	21.80239105	22.95498657	21.01138687	22.32841301	22.85843658	21.52008629	18.88091087						1	1	1	9.7	9.7	9.7	13.188	0.00041597	2.3871	35045000	14	NaN	NaN	0	NaN	sp|Q9BWD3|RTL8A_HUMAN;sp|Q17RB0|RTL8B_HUMAN;sp|A6ZKI3|RTL8C_HUMAN	sp|Q9BWD3|RTL8A_HUMAN;sp|Q17RB0|RTL8B_HUMAN;sp|A6ZKI3|RTL8C_HUMAN	194
22.20402718	22.28161049	21.40258408	22.36663628	23.2539196	22.70201683	21.99193192	22.52811623	22.62220383	23.27411079	22.23774529	21.90660477	22.6408844	22.09269905	22.06157112	21.04324722	21.25946999	19.79863167						1	1	1	2	2	2	197.3	0	8.2676	28197000	8	NaN	NaN	0	NaN	sp|A7E2V4|ZSWM8_HUMAN	sp|A7E2V4|ZSWM8_HUMAN	195
23.37797546	22.23657799	21.80960846	21.49817085	21.06306076	21.52189064	22.6776123	23.16257095	22.66269684	21.66386032	22.36257935	22.0897274	21.67209053	20.74591446	21.32038307	21.20305061	21.85975456	19.93270493						3	3	3	1.6	1.6	1.6	230.53	0	4.9215	118840000	14	NaN	NaN	0	NaN	sp|A7KAX9|RHG32_HUMAN	sp|A7KAX9|RHG32_HUMAN	196
22.50437927	23.17666245	22.65376091	22.74757004	21.6730938	22.5425663	23.34324455	22.690382	22.38947296	23.06857681	22.24758339	20.58309555	22.41733742	23.2070961	22.18382454	22.79222488	23.18374825	21.96712303						1	1	1	1.4	1.4	1.4	152	0.00062112	2.3226	0	1	NaN	NaN	0	NaN	sp|A7MBM2|DISP2_HUMAN	sp|A7MBM2|DISP2_HUMAN	197
24.36892891	24.16545677	24.18548203	23.89105988	24.24198151	23.82405663	23.76860428	21.8770256	23.01163673	21.69034767	22.87282562	20.03992271	24.02631187	23.92043495	23.8331604	23.66144753	23.85290909	23.91396904				+	fold10_fold1	6	6	1	7.6	7.6	1.6	125.09	0	43.147	175020000	36	2.24819506	0.01280621	-1.902767181	-3.508388223	sp|A8CG34|P121C_HUMAN;sp|A6NF01|P121B_HUMAN;sp|Q6PJE2|POZP3_HUMAN	sp|A8CG34|P121C_HUMAN	198
22.89654541	22.99950981	22.7333622	22.94771004	22.54578209	22.3157711	23.06511307	21.73266602	23.09089851	23.01537514	22.02175522	22.06576157	22.61265564	22.00012779	22.25142479	22.72787857	20.75271416	21.59659767						1	1	1	2.2	2.2	2.2	47.989	0	2.7543	40931000	18	NaN	NaN	0	NaN	sp|Q9NQA3|WASH6_HUMAN;sp|C4AMC7|WASH3_HUMAN;sp|Q6VEQ5|WASH2_HUMAN;sp|A8K0Z3|WASH1_HUMAN;sp|A8MWX3|WASH4_HUMAN	sp|Q9NQA3|WASH6_HUMAN;sp|C4AMC7|WASH3_HUMAN;sp|Q6VEQ5|WASH2_HUMAN;sp|A8K0Z3|WASH1_HUMAN;sp|A8MWX3|WASH4_HUMAN	199
23.20919037	22.98844337	23.46210289	22.27746964	20.95444679	22.57400513	23.61754608	20.48974228	21.98788452	21.70645523	23.63082504	22.75676346	22.15114594	20.58863068	22.50615311	21.55557632	21.51888275	20.67212296						2	2	2	0.9	0.9	0.9	292.7	0	3.6535	75335000	11	NaN	NaN	0	NaN	sp|B2RTY4|MYO9A_HUMAN	sp|B2RTY4|MYO9A_HUMAN	200
22.75494194	22.09953117	21.92137337	21.34701538	22.55623817	23.28841591	22.76254654	23.66147804	22.54984856	23.28893852	22.3801136	23.48681259	21.97469902	22.50847054	21.97047615	22.11608887	23.3331337	20.65901947						1	1	1	2.9	2.9	2.9	53.479	0	59.825	28242000	6	NaN	NaN	0	NaN	sp|P0DPB3|SCHI1_HUMAN;sp|B3KU38|IQIP1_HUMAN	sp|P0DPB3|SCHI1_HUMAN;sp|B3KU38|IQIP1_HUMAN	201
29.91669846	31.23529243	31.22354507	31.17021179	31.07839203	31.30639076	30.51324081	30.60107422	30.70421219	30.63313484	30.52411842	30.53185272	30.92450714	30.91798019	30.98583412	31.08600616	31.08068085	31.02834892						8	8	8	13.7	13.7	13.7	105.34	0	164.46	31976000000	201	1.023835467	0.13924825	-0.403816223	-1.846026564	sp|Q99613|EIF3C_HUMAN;sp|B5ME19|EIFCL_HUMAN	sp|Q99613|EIF3C_HUMAN;sp|B5ME19|EIFCL_HUMAN	202
22.93757439	22.37132263	24.94406128	21.99511147	22.08395576	22.37101364	22.86680603	22.63918877	22.11228752	22.93994713	22.48198128	21.08730698	20.58193398	22.6596241	21.73013306	23.41884995	21.35260963	25.26431274						1	1	1	13.4	13.4	13.4	10.92	0	26.972	567440000	19	NaN	NaN	0	NaN	sp|C9JLW8|MCRI1_HUMAN	sp|C9JLW8|MCRI1_HUMAN	203
23.25180817	20.66746712	22.33252335	22.05767059	21.0959053	21.42266846	21.14813042	22.14639664	24.18793106	22.81707573	22.47164536	22.01545334	22.06644249	22.10786247	21.82998657	22.20924187	22.46773911	23.70841026						1	1	1	18	18	18	14.632	0	25.221	1145000000	68	NaN	NaN	0	NaN	sp|Q01628|IFM3_HUMAN;sp|C9JQL5|DSA2D_HUMAN	sp|Q01628|IFM3_HUMAN;sp|C9JQL5|DSA2D_HUMAN	204
28.26981544	29.48245049	29.55681992	29.08732224	29.37786674	28.49174881	30.91484642	28.22816277	28.07255173	29.63386345	30.52383804	29.76244736	27.99792671	29.01299858	28.78322411	29.82180214	28.48608017	28.74855232						4	4	4	36.7	36.7	36.7	23.384	0	222.5	18043000000	789	0.416197154	0.453455732	0.478281021	0.911391751	sp|Q13765|NACA_HUMAN;sp|E9PAV3|NACAM_HUMAN	sp|Q13765|NACA_HUMAN;sp|E9PAV3|NACAM_HUMAN	205
23.03585815	22.25193787	22.04190636	21.79920387	22.20679855	21.89029121	23.39497948	22.38702393	22.54494858	22.59476852	22.01729965	22.74933434	24.12615776	22.37880135	21.37115288	21.93112946	21.17083359	22.34951591						1	1	1	4	4	4	72.911	0	17.377	95723000	26	NaN	NaN	0	NaN	sp|O00116|ADAS_HUMAN	sp|O00116|ADAS_HUMAN	208
22.77633095	22.00780678	21.67870331	21.96698189	23.17754555	25.578825	21.92215157	23.49341774	22.26068497	22.81767845	21.73927879	22.1145668	23.17845535	22.38669777	23.29717064	22.07520294	20.41755486	21.18767357						1	1	1	5	5	5	79.954	0	8.8149	39287000	1	NaN	NaN	0	NaN	sp|O00139|KIF2A_HUMAN	sp|O00139|KIF2A_HUMAN	209
25.06788254	25.6365509	26.0813961	26.1865406	26.01348305	25.94386864	25.51056671	25.78514099	25.48253059	25.92331696	25.78404236	25.38817787	26.25401878	26.00148582	25.82310867	25.80997467	25.98396301	25.99782944						3	3	3	10.8	10.8	10.8	49.129	0	40.989	1335100000	105	0.425008076	0.447123773	-0.175991058	-0.926853433	sp|O00148|DX39A_HUMAN	sp|O00148|DX39A_HUMAN	210
23.05379868	23.08282661	23.52687263	23.32507706	22.52207947	22.01461983	23.13348961	22.28382111	22.70850945	23.05157661	21.19557381	22.08123016	22.7160244	22.35631943	22.27874565	22.74576378	20.89570999	24.89896774						1	1	1	3.3	3.3	3.3	36.071	0	6.567	434550000	18	NaN	NaN	0	NaN	sp|O00151|PDLI1_HUMAN	sp|O00151|PDLI1_HUMAN	211
24.09659576	24.06046867	23.80960655	21.89983368	23.46101379	21.95189285	22.56731606	21.42065239	22.59317398	22.91838646	22.15392303	21.4464016	23.02666664	23.23955154	23.5002079	22.57296562	21.84610558	20.41698647						2	2	2	3	3	3	121.68	0	10.134	118230000	25	1.207434362	0.098259723	-1.0299263	-2.100502445	sp|O00159|MYO1C_HUMAN	sp|O00159|MYO1C_HUMAN	212
23.84318161	23.1041832	22.67588615	22.46346092	21.81937981	22.04553986	22.5677433	25.53412628	22.68797493	21.82194138	21.42658234	21.52336693	21.88282394	22.32168007	21.47735023	21.35356522	21.79085922	21.37690926						1	1	1	8.1	8.1	8.1	23.354	0	97.667	612000000	19	NaN	NaN	0	NaN	sp|O00161|SNP23_HUMAN	sp|O00161|SNP23_HUMAN	213
24.82658005	21.75238037	22.33540535	21.89032555	24.65987015	22.06090736	22.21313095	23.08398247	22.25749969	23.85880089	21.89933968	22.5212326	23.15395927	21.83425903	23.82786179	21.60605812	22.45179176	22.0685997						2	2	2	2.7	2.7	2.7	72.453	0	40.054	114670000	17	NaN	NaN	0	NaN	sp|O00178|GTPB1_HUMAN	sp|O00178|GTPB1_HUMAN	214
22.52942467	22.61076164	22.18852615	22.58592415	22.71198845	21.19076157	23.05860901	22.34109688	23.39544296	21.00936127	22.1719017	22.20318413	22.04259872	21.97470093	22.0362854	22.05360413	21.5903511	21.49370193						2	2	2	3.4	3.4	3.4	104.64	0	3.2333	5585200	2	NaN	NaN	0	NaN	sp|O00192|ARVC_HUMAN	sp|O00192|ARVC_HUMAN	215
27.25961494	31.42051315	31.1074295	31.36379814	31.41749763	31.38045883	30.64770126	30.60840797	30.72208023	30.69818115	30.65352249	30.54111671	29.04194832	31.04563713	31.165308	31.13461113	31.13038254	31.22250938						4	4	4	39.9	39.9	39.9	20.332	0	277.07	31622000000	117	0.006516309	0.990306107	-0.013050397	-0.019137792	sp|O00193|SMAP_HUMAN	sp|O00193|SMAP_HUMAN	216
22.87147713	28.98011017	28.88430977	28.89925575	28.72789955	28.92716599	28.55731392	28.68995857	28.72919846	28.72263336	28.69225502	28.60569	28.7265358	28.49224472	28.73534393	28.71053314	28.74502945	28.75795746						3	3	3	2.4	2.4	2.4	121.32	0	15.292	7042300000	59	0.344594192	0.522571812	0.78447183	0.782097188	sp|O00203|AP3B1_HUMAN	sp|O00203|AP3B1_HUMAN	217
22.99757195	22.93494797	23.34588814	22.62408638	22.66940689	21.25878525	22.6750412	22.52905083	21.98905373	21.4303875	21.80991936	21.50004005	22.22120857	22.83993721	21.87338448	21.05863571	23.01285744	21.22843552						1	1	1	3.5	3.5	3.5	77.243	0	9.511	32014000	5	NaN	NaN	0	NaN	sp|O00213|APBB1_HUMAN	sp|O00213|APBB1_HUMAN	218
22.49036217	29.03813171	21.73437881	22.4809761	22.09790611	21.25675011	22.58880615	22.02318001	22.07755661	22.14845467	22.09712791	20.48378563	22.70009232	21.5362606	21.41277122	23.15039635	21.54052925	20.6298027						2	2	2	10.7	10.7	10.7	47.463	0	86.47	4089600000	15	NaN	NaN	0	NaN	sp|O00231|PSD11_HUMAN	sp|O00231|PSD11_HUMAN	219
23.03964233	24.83720779	25.55835724	22.75376892	23.11577415	24.94966888	21.80852699	22.02503967	22.99848747	21.79196739	21.95084381	21.06186867	21.60708237	23.17115974	21.48672676	21.83530617	21.74030113	20.66642952				+	fold10_fold1	5	5	5	16.9	16.9	16.9	52.904	0	40.136	184150000	26	2.453589776	0.008432145	-2.102947553	-3.794226976	sp|O00232|PSD12_HUMAN	sp|O00232|PSD12_HUMAN	220
22.87298393	24.56284714	24.6327858	24.42053413	24.46780777	24.62989807	22.25212097	22.94399452	21.05525017	23.29539871	21.31285477	22.8850174	22.54887772	22.61598969	21.64899254	20.89743042	23.81058884	20.49898529				+	fold10_fold1	3	3	3	7.5	7.5	7.5	61.367	0	13.901	176830000	26	2.735985266	0.00478458	-1.973703384	-4.197282132	sp|O00257|CBX4_HUMAN	sp|O00257|CBX4_HUMAN	221
32.76594162	32.5005455	32.73577881	32.80149078	32.80120087	32.85155106	32.51154327	32.4957428	32.54908371	32.47486496	32.43467331	32.5349617	32.68695831	32.71163559	32.73519516	32.74927139	32.7127037	32.59450531				+	fold10_fold1	4	4	4	37.4	37.4	37.4	21.671	0	149.75	1.0384E+11	151	2.951663671	0.003085903	-0.242606481	-4.51453702	sp|O00264|PGRC1_HUMAN	sp|O00264|PGRC1_HUMAN	222
23.528862	22.63586998	21.25836372	21.65264893	23.15531349	21.87426567	21.80293465	21.34383392	22.55368996	22.05656624	21.41309738	24.08691216	22.16643143	21.94369888	24.37464523	21.39287758	21.66078949	21.50262642						2	2	2	4	4	4	121	0	16.818	250700000	21	NaN	NaN	0	NaN	sp|O00267|SPT5H_HUMAN	sp|O00267|SPT5H_HUMAN	223
22.95601463	22.25653648	22.47417641	22.0712738	21.56546593	21.17987251	21.98529243	21.49255943	21.5032959	21.86762428	23.31939507	20.95125389	21.47089005	21.22875786	22.29624557	21.5026226	21.91624451	26.60455894						1	1	1	3.3	3.3	3.3	36.521	0	2.8366	1107700000	25	NaN	NaN	0	NaN	sp|O00273|DFFA_HUMAN	sp|O00273|DFFA_HUMAN	224
26.54611588	25.9168644	26.3036499	26.13328171	26.39080429	26.32721329	26.3341713	25.85379028	26.33210564	26.25591087	26.25427246	26.20748901	26.22595024	25.93571091	25.94205666	25.83376312	26.15944481	26.31222916						4	4	4	30.7	30.7	30.7	26.922	0	81.603	1350500000	60	0.225381608	0.660110478	-0.063364983	-0.548866289	sp|O00299|CLIC1_HUMAN	sp|O00299|CLIC1_HUMAN	225
