Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Protein names	Gene names	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Peptides TMT_BP123	Peptides TMT_BP456	Razor + unique peptides TMT_BP123	Razor + unique peptides TMT_BP456	Unique peptides TMT_BP123	Unique peptides TMT_BP456	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Fraction average	Fraction 1	Fraction 2	Q-value	Score	Reporter intensity corrected 1	Reporter intensity corrected 2	Reporter intensity corrected 3	Reporter intensity corrected 4	Reporter intensity corrected 5	Reporter intensity corrected 6	Reporter intensity 1	Reporter intensity 2	Reporter intensity 3	Reporter intensity 4	Reporter intensity 5	Reporter intensity 6	Reporter intensity count 1	Reporter intensity count 2	Reporter intensity count 3	Reporter intensity count 4	Reporter intensity count 5	Reporter intensity count 6	Reporter intensity corrected 1 TMT_BP123	Reporter intensity corrected 2 TMT_BP123	Reporter intensity corrected 3 TMT_BP123	Reporter intensity corrected 4 TMT_BP123	Reporter intensity corrected 5 TMT_BP123	Reporter intensity corrected 6 TMT_BP123	Reporter intensity corrected 1 TMT_BP456	Reporter intensity corrected 2 TMT_BP456	Reporter intensity corrected 3 TMT_BP456	Reporter intensity corrected 4 TMT_BP456	Reporter intensity corrected 5 TMT_BP456	Reporter intensity corrected 6 TMT_BP456	Reporter intensity 1 TMT_BP123	Reporter intensity 2 TMT_BP123	Reporter intensity 3 TMT_BP123	Reporter intensity 4 TMT_BP123	Reporter intensity 5 TMT_BP123	Reporter intensity 6 TMT_BP123	Reporter intensity 1 TMT_BP456	Reporter intensity 2 TMT_BP456	Reporter intensity 3 TMT_BP456	Reporter intensity 4 TMT_BP456	Reporter intensity 5 TMT_BP456	Reporter intensity 6 TMT_BP456	Reporter intensity count 1 TMT_BP123	Reporter intensity count 2 TMT_BP123	Reporter intensity count 3 TMT_BP123	Reporter intensity count 4 TMT_BP123	Reporter intensity count 5 TMT_BP123	Reporter intensity count 6 TMT_BP123	Reporter intensity count 1 TMT_BP456	Reporter intensity count 2 TMT_BP456	Reporter intensity count 3 TMT_BP456	Reporter intensity count 4 TMT_BP456	Reporter intensity count 5 TMT_BP456	Reporter intensity count 6 TMT_BP456	Sequence coverage TMT_BP123 [%]	Sequence coverage TMT_BP456 [%]	Intensity	Intensity TMT_BP123	Intensity TMT_BP456	MS/MS count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions
A3KMH1	A3KMH1	5	5	5	von Willebrand factor A domain-containing protein 8	VWA8	sp|A3KMH1|VWA8_HUMAN von Willebrand factor A domain-containing protein 8 OS=Homo sapiens OX=9606 GN=VWA8 PE=1 SV=2	1	5	5	5	2	5	2	5	2	5	2.6	2.6	2.6	214.82	1905	1905	1.43	4	3	0	11.758	40909	42474	45630	42242	55491	47441	38754	42395	47642	42431	55468	46117	7	7	7	7	7	7	16128	17611	14258	17997	18867	13250	24781	24862	31371	24245	36624	34191	15283	17465	15378	17699	18924	12979	23472	24930	32264	24732	36544	33139	2	2	2	2	2	2	5	5	5	5	5	5	1.4	2.6	38802000	8877200	29925000	7				10	7648;8271;10015;16992;19270	True;True;True;True;True	7647;8272;10020;17022;19295	21521;23296;28385;28386;48777;55187;55188	22131;23982;29219;29220;50368;56941;56942	22131;23982;29219;50368;56942		
A4D1P6	A4D1P6	3	3	3	WD repeat-containing protein 91	WDR91	sp|A4D1P6|WDR91_HUMAN WD repeat-containing protein 91 OS=Homo sapiens OX=9606 GN=WDR91 PE=1 SV=2	1	3	3	3	3	2	3	2	3	2	7.2	7.2	7.2	83.343	747	747	1.4	3	2	0	14.954	31117	36563	39535	32912	44401	35290	29497	36263	41094	33285	44256	34397	5	5	5	5	5	5	16192	21951	18154	20200	21456	18231	14925	14612	21382	12712	22945	17060	15362	21549	19424	19978	21613	17726	14135	14714	21670	13307	22643	16671	3	3	3	3	3	3	2	2	2	2	2	2	7.2	5.8	36528000	21930000	14598000	5				11	12926;13813;14732	True;True;True	12944;13832;14753	37349;37350;39810;39811;42367	38561;38562;41134;41135;43794	38561;41134;43794		
A5YKK6	A5YKK6	8	8	8	CCR4-NOT transcription complex subunit 1	CNOT1	sp|A5YKK6|CNOT1_HUMAN CCR4-NOT transcription complex subunit 1 OS=Homo sapiens OX=9606 GN=CNOT1 PE=1 SV=2	1	8	8	8	7	6	7	6	7	6	4.4	4.4	4.4	266.94	2376	2376	1.69	4	9	0	25.54	246450	267600	274480	277970	325630	275650	233520	266280	288320	276870	326730	268050	12	12	12	12	12	12	113720	138260	113150	145840	138180	102550	132730	129340	161330	132140	187450	173100	107820	136390	122000	142880	139400	100220	125700	129890	166330	133980	187330	167830	6	6	6	6	6	6	6	6	6	6	6	6	3.8	3.1	129540000	57318000	72226000	13				12	1929;1994;6627;7550;7555;9215;25287;28446	True;True;True;True;True;True;True;True	1922;1987;6623;7549;7554;9217;25315;28482	5447;5646;5647;18739;21244;21245;21255;26036;26037;71789;71790;80952;80953	5617;5820;5821;19312;21845;21846;21856;26817;26818;73915;73916;83425;83426	5617;5821;19312;21846;21856;26818;73916;83425		
A6NCS6	A6NCS6	3	3	3	Uncharacterized protein C2orf72	C2orf72	sp|A6NCS6|CB072_HUMAN Uncharacterized protein C2orf72 OS=Homo sapiens OX=9606 GN=C2orf72 PE=1 SV=2	1	3	3	3	3	3	3	3	3	3	12.9	12.9	12.9	30.48	295	295	1.56	4	5	0	14.809	128030	142470	158990	131630	182830	156500	121330	141770	164950	133300	182430	152120	8	8	8	8	8	8	65948	77225	74529	76680	90275	70155	62079	65249	84462	54950	92552	86342	62515	76479	78647	76338	90357	68437	58813	65286	86301	56966	92070	83688	4	4	4	4	4	4	4	4	4	4	4	4	12.9	12.9	143610000	66041000	77565000	9				13	138;376;18920	True;True;True	135;370;18945	340;341;342;996;997;54252;54253;54254;54255	345;346;347;1048;1049;55999;56000;56001;56002	347;1049;56000		
A6NDG6	A6NDG6	6	6	6	Phosphoglycolate phosphatase	PGP	sp|A6NDG6|PGP_HUMAN Glycerol-3-phosphate phosphatase OS=Homo sapiens OX=9606 GN=PGP PE=1 SV=1	1	6	6	6	6	4	6	4	6	4	27.7	27.7	27.7	34.006	321	321	1.5	5	5	0	19.037	82588	94116	92332	91055	112190	90460	78276	93355	97171	90974	112210	88121	9	9	9	9	9	9	51087	63297	52770	63388	69037	53481	31501	30820	39563	27667	43154	36978	48443	62397	56651	62533	69303	52178	29833	30958	40519	28442	42911	35944	5	5	5	5	5	5	4	4	4	4	4	4	27.7	20.6	50455000	29832000	20623000	10				14	1996;8118;9226;17987;18806;19443	True;True;True;True;True;True	1989;8118;9228;18009;18830;19468	5651;5652;22883;22884;26068;51461;51462;53894;53895;55654	5825;5826;23556;23557;26849;53124;53125;55634;55635;57415	5825;23557;26849;53124;55635;57415		
A6NED2	A6NED2	1	1	1	RCC1 domain-containing protein 1	RCCD1	sp|A6NED2|RCCD1_HUMAN RCC1 domain-containing protein 1 OS=Homo sapiens OX=9606 GN=RCCD1 PE=1 SV=1	1	1	1	1	1	1	1	1	1	1	5.1	5.1	5.1	40.078	376	376	1	2		0	3.887	6682.5	7606.2	9497.2	7529	14162	10641	6333.6	7573.8	9794.9	7746.9	13965	10394	2	2	2	2	2	2	3851	3456.8	3663.4	4343.8	7229	4789.1	2831.5	4149.4	5833.8	3185.2	6933.1	5851.8	3645.6	3479.7	3880.3	4356.1	7129.5	4702.8	2687.9	4094.2	5914.7	3390.9	6835.9	5691.1	1	1	1	1	1	1	1	1	1	1	1	1	5.1	5.1	4973400	2818500	2154900	2				15	1055	True	1046	2935;2936	3027;3028	3027		
A6NH11	A6NH11	1	1	1	Glycolipid transfer protein domain-containing protein 2	GLTPD2	sp|A6NH11|GLTD2_HUMAN Glycolipid transfer protein domain-containing protein 2 OS=Homo sapiens OX=9606 GN=GLTPD2 PE=1 SV=2	1	1	1	1	0	1	0	1	0	1	2.4	2.4	2.4	31.641	291	291	1	1		0.0077384	1.3683	1853.7	1633.7	2718.8	1231.4	3381.6	2159.2	1754.7	1660.3	2727	1352.5	3297.2	2123.9	1	1	1	1	1	1	0	0	0	0	0	0	1853.7	1633.7	2718.8	1231.4	3381.6	2159.2	0	0	0	0	0	0	1754.7	1660.3	2727	1352.5	3297.2	2123.9	0	0	0	0	0	0	1	1	1	1	1	1	0	2.4	8469000	0	8469000	1				16	24493	True	24518	69447	71517	71517		
A6NHL2	A6NHL2	3	1	1	Tubulin alpha chain-like 3	TUBAL3	sp|A6NHL2|TBAL3_HUMAN Tubulin alpha chain-like 3 OS=Homo sapiens OX=9606 GN=TUBAL3 PE=1 SV=2	1	3	1	1	3	3	1	1	1	1	7.8	3.8	3.8	49.908	446	446	1.5	4	4	0	42.06	104070	111550	110360	126830	123040	102100	98606	111020	116770	124890	124340	99359	6	6	6	6	6	6	54109	66196	51709	73376	60148	50876	49963	45355	58653	53452	62889	51227	51305	65246	56216	71376	61317	49476	47300	45772	60556	53512	63024	49884	3	3	3	3	3	3	3	3	3	3	3	3	7.8	7.8	185620000	90190000	95433000	8				17	5281;22025;28524	False;True;False	5277;22052;28561	14954;14955;14956;14957;62500;62501;62502;62503;62504;62505;62506;62507;81186;81187;81188	15406;15407;15408;15409;64344;64345;64346;64347;64348;64349;64350;64351;83664;83665;83666	15409;64347;83665		
A6NHQ2	A6NHQ2	1	1	1	rRNA/tRNA 2-O-methyltransferase fibrillarin-like protein 1	FBLL1	sp|A6NHQ2|FBLL1_HUMAN rRNA/tRNA 2-O-methyltransferase fibrillarin-like protein 1 OS=Homo sapiens OX=9606 GN=FBLL1 PE=3 SV=2	1	1	1	1	1	1	1	1	1	1	3.3	3.3	3.3	34.803	334	334	1.5	4	4	0	3.6365	123160	139290	136870	135440	170320	144910	116720	138220	144070	135390	170480	140890	8	8	8	8	8	8	79040	92345	74600	90449	100790	81973	44117	46950	62270	44992	69528	62938	74924	91258	80326	89263	101220	79829	41798	46966	63740	46131	69266	61063	4	4	4	4	4	4	4	4	4	4	4	4	3.3	3.3	729850000	344440000	385410000	8				18	24665	True	24691	69970;69971;69972;69973;69974;69975;69976;69977	72056;72057;72058;72059;72060;72061;72062;72063	72057		
A6NHR9	A6NHR9	8	8	8	Structural maintenance of chromosomes flexible hinge domain-containing protein 1	SMCHD1	sp|A6NHR9|SMHD1_HUMAN Structural maintenance of chromosomes flexible hinge domain-containing protein 1 OS=Homo sapiens OX=9606 GN=SMCHD1 PE=1 SV=2	1	8	8	8	4	7	4	7	4	7	5.4	5.4	5.4	226.37	2005	2005	1.55	5	6	0	21.14	114820	113680	151470	121930	172870	151310	108740	114190	155550	123740	172490	146970	11	11	11	11	11	11	24255	30444	25788	31330	35512	27338	90563	83237	125690	90600	137360	123970	23002	29999	27676	30931	35587	26678	85743	84191	127870	92812	136900	120290	4	4	4	4	4	4	7	7	7	7	7	7	2.4	4.8	111700000	30824000	80876000	11				19	23;1820;6188;9731;11494;15486;19357;24530	True;True;True;True;True;True;True;True	21;1812;6184;9736;11506;15510;19382;24555	42;5117;5118;17541;27562;33002;33003;44609;44610;55413;69545	43;5284;5285;18084;28382;34023;34024;46118;46119;57171;71616	43;5284;18084;28382;34024;46119;57171;71616		
A6NKF1	A6NKF1	1	1	1	SAC3 domain-containing protein 1	SAC3D1	sp|A6NKF1|SAC31_HUMAN SAC3 domain-containing protein 1 OS=Homo sapiens OX=9606 GN=SAC3D1 PE=1 SV=2	1	1	1	1	1	0	1	0	1	0	5	5	5	43.553	404	404	1	1		0.0013729	2.66	7297.3	8655.8	8949.1	8908.4	12343	8410.4	6917.9	8575	9397.7	8934	12246	8248.6	1	1	1	1	1	1	7297.3	8655.8	8949.1	8908.4	12343	8410.4	0	0	0	0	0	0	6917.9	8575	9397.7	8934	12246	8248.6	0	0	0	0	0	0	1	1	1	1	1	1	0	0	0	0	0	0	5	0	4908400	4908400	0	1				20	10007	True	10012	28365	29199	29199		
A6NLE4	A6NLE4	1	1	1	Small integral membrane protein 23	SMIM23	sp|A6NLE4|SIM23_HUMAN Small integral membrane protein 23 OS=Homo sapiens OX=9606 GN=SMIM23 PE=2 SV=3	1	1	1	1	0	1	0	1	0	1	5.2	5.2	5.2	20.025	172	172	2		1	0.0033453	1.7543	18510	16750	25205	18710	21900	21868	17523	16957	25643	18949	22084	21151	1	1	1	1	1	1	0	0	0	0	0	0	18510	16750	25205	18710	21900	21868	0	0	0	0	0	0	17523	16957	25643	18949	22084	21151	0	0	0	0	0	0	1	1	1	1	1	1	0	5.2	14858000	0	14858000	1				21	17302	True	17330	49681	51304	51304		
P62308;A8MWD9	P62308;A8MWD9	2;2	2;2	2;2	Small nuclear ribonucleoprotein G;Putative small nuclear ribonucleoprotein G-like protein 15	SNRPG;SNRPGP15	sp|P62308|RUXG_HUMAN Small nuclear ribonucleoprotein G OS=Homo sapiens OX=9606 GN=SNRPG PE=1 SV=1;sp|A8MWD9|RUXGL_HUMAN Putative small nuclear ribonucleoprotein G-like protein 15 OS=Homo sapiens OX=9606 GN=SNRPGP15 PE=5 SV=2	2	2	2	2	2	2	2	2	2	2	25	25	25	8.496	76	76;76	1.43	8	6	0	5.7741	239240	292160	334490	294800	387100	306900	226840	289490	347270	296850	386150	299150	14	14	14	14	14	14	104190	146540	135710	159410	177070	144430	135040	145620	198780	135390	210020	162470	98883	143840	144470	157470	177850	140640	127950	145640	202800	139380	208300	158510	7	7	7	7	7	7	7	7	7	7	7	7	25	25	942980000	434130000	508850000	14				22	9985;11392	True;True	9990;11404	28294;28295;28296;28297;28298;28299;28300;28301;32688;32689;32690;32691;32692;32693	29127;29128;29129;29130;29131;29132;29133;29134;33701;33702;33703;33704;33705;33706	29130;33703		
A8MXV4	A8MXV4	1	1	1	Nucleoside diphosphate-linked moiety X motif 19, mitochondrial	NUDT19	sp|A8MXV4|NUD19_HUMAN Nucleoside diphosphate-linked moiety X motif 19 OS=Homo sapiens OX=9606 GN=NUDT19 PE=1 SV=1	1	1	1	1	1	0	1	0	1	0	8	8	8	42.233	375	375	2		1	0.0043423	1.6433	3831.4	6219.1	4217.2	8134.4	4634.4	5346.6	3639.9	6048.8	4726.1	7782.2	4880.2	5150.4	1	1	1	1	1	1	3831.4	6219.1	4217.2	8134.4	4634.4	5346.6	0	0	0	0	0	0	3639.9	6048.8	4726.1	7782.2	4880.2	5150.4	0	0	0	0	0	0	1	1	1	1	1	1	0	0	0	0	0	0	8	0	5136800	5136800	0	1				23	6822	True	6819	19248	19831	19831		
