LFQ intensity UPS1_01	LFQ intensity UPS1_02	LFQ intensity UPS1_03	LFQ intensity UPS1_04	LFQ intensity UPS2_01	LFQ intensity UPS2_02	LFQ intensity UPS2_03	LFQ intensity UPS2_04	Only identified by site	Reverse	Potential contaminant	Student's T-test Significant 1_2	Student's T-test significant	Peptides	Razor + unique peptides	Unique peptides	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Q-value	Score	Intensity	MS/MS count	-Log Student's T-test p-value 1_2	Student's T-test q-value 1_2	Student's T-test Difference 1_2	Student's T-test Test statistic 1_2	Protein IDs	Majority protein IDs	id
29.99145317	30.41679382	30.22882843	30.77368355	0	0	0	0				+	1_2	6	6	6	51.3	51.3	51.3	22.227	0	93.187	8000500000	36	11.75727079	4.15E-10	30.35268974	183.8210993	P51965ups|UB2E1_HUMAN_UPS	P51965ups|UB2E1_HUMAN_UPS	57
32.27802658	32.35696793	32.31931686	32.32391357	23.97360039	24.37835503	23.58267784	24.09916687				+	1_2	14	14	14	80	80	80	21.994	0	323.31	35760000000	294	8.370619725	5.92E-07	8.311106205	50.06485367	P55957ups|BID_HUMAN_UPS	P55957ups|BID_HUMAN_UPS	58
32.10214996	32.43009186	32.14327621	32.46453476	28.32979965	28.04306984	27.99312973	27.78244209				+	1_2	11	11	11	78.5	78.5	78.5	14.701	0	220.36	32579000000	85	6.944057794	1.11E-05	4.24790287	28.89791679	P61626ups|LYSC_HUMAN_UPS	P61626ups|LYSC_HUMAN_UPS	59
32.7183075	32.20189285	32.35350037	32.12441635	23.97377586	24.34935379	0	23.14616013						3	3	3	42.4	42.4	42.4	11.731	0	128.64	29330000000	44	1.29038084	0.795218036	14.48220682	2.428868972	P61769ups|B2MG_HUMAN_UPS	P61769ups|B2MG_HUMAN_UPS	60
32.0990181	32.51406479	32.24615097	32.57406998	31.62466431	31.13203812	31.66513443	31.61065292						10	9	9	68.1	59.5	59.5	20.176	0	208.96	68587000000	224	2.629798263	0.120104969	0.850203514	5.044951596	P62937ups|PPIA_HUMAN_UPS	P62937ups|PPIA_HUMAN_UPS	61
32.11340332	31.82983017	31.88113976	31.65147018	33.56581116	34.02671814	33.91366959	33.84473801				+	1_2	6	5	5	70.8	54.2	54.2	10.728	0	140.77	1.3159E+11	238	5.153987118	0.000470715	-1.968773365	-14.40331916	P62988ups|UBIQ_HUMAN_UPS	P62988ups|UBIQ_HUMAN_UPS	62
33.37891006	33.36476135	33.28071213	33.12735748	32.26802063	32.36335373	32.30358887	32.09628677				+	1_2	21	21	21	54.5	54.5	54.5	38.814	0	251.17	1.047E+11	223	4.827284966	0.000934321	1.030122757	12.66034758	P63165ups|SUMO1_HUMAN_UPS	P63165ups|SUMO1_HUMAN_UPS	63
32.32404709	32.13341522	31.92585182	32.05875778	28.04463387	27.8495369	28.3415966	28.20885658				+	1_2	11	11	11	78.5	78.5	78.5	18.007	0	217.26	28313000000	133	7.010078759	1.00E-05	3.999361992	29.64404239	P63279ups|UBC9_HUMAN_UPS	P63279ups|UBC9_HUMAN_UPS	64
33.11715698	33.17310333	32.97900009	32.99092865	34.39496613	34.52297592	34.59701538	34.55670547				+	1_2	11	11	11	93.8	93.8	93.8	15.867	0	323.31	2.0684E+11	408	6.293148872	4.31E-05	-1.452868462	-22.46446457	P68871ups|HBB_HUMAN_UPS;CON__Q3SX09;CON__P02070	P68871ups|HBB_HUMAN_UPS	65
32.36481476	32.27189255	32.18810272	32.4424324	33.89419174	33.98574829	34.26143646	34.14337921				+	1_2	10	10	6	89.4	89.4	65.2	15.126	0	265.25	1.5974E+11	356	5.693157523	0.000157778	-1.754378319	-17.78993057	P69905ups|HBA_HUMAN_UPS	P69905ups|HBA_HUMAN_UPS	66
31.61109352	31.65446091	31.57190323	31.32769203	0	0	0	0				+	1_2	9	9	6	71.2	71.2	53.8	11.617	0	127.94	19131000000	70	13.97810731	5.12E-12	31.54128742	431.0844725	P99999ups|CYC_HUMAN_UPS	P99999ups|CYC_HUMAN_UPS	67
33.79933167	33.73216629	33.68624878	33.56535721	33.10915756	33.05097961	33.10362244	33.05460739				+	1_2	18	18	18	86.9	86.9	86.9	21.979	0	323.31	1.4418E+11	264	4.676472511	0.001242099	0.616184235	11.92446988	Q06830ups|PRDX1_HUMAN_UPS	Q06830ups|PRDX1_HUMAN_UPS	68
29.30667305	29.15692139	28.99954033	29.27317619	22.59208679	23.20681381	23.18919754	23.06938362				+	1_2	3	3	3	42	42	42	9.0714	0	32.453	3580200000	34	7.694233456	2.31E-06	6.169707298	38.59155094	Q15843ups|NEDD8_HUMAN_UPS	Q15843ups|NEDD8_HUMAN_UPS	69
0	0	0	0	0	0	0	25.76559639						1	1	1	19.3	19.3	19.3	6.4413	0.00046577	3.756	419790000	6	NaN	NaN	0	NaN	sp|A5A614|YCIZ_ECOLI	sp|A5A614|YCIZ_ECOLI	109
34.33837128	34.51523972	34.47230148	34.55984497	34.56609726	34.41557312	34.63498688	34.58899689						33	33	33	86.5	86.5	86.5	51.481	0	323.31	2.883E+11	838	0.55249221	0.795218036	-0.079974174	-1.186625723	sp|P00350|6PGD_ECOLI	sp|P00350|6PGD_ECOLI	110
31.64740181	31.76615906	31.57063866	31.46878624	31.6906662	31.54558754	31.68240166	31.52635956						31	31	31	65.8	65.8	65.8	65.971	0	323.31	37970000000	206	0.008752501	0.999856469	0.001992702	0.026068178	sp|P00363|FRDA_ECOLI	sp|P00363|FRDA_ECOLI	111
29.98834229	30.09873581	30.26852226	30.33020592	30.19788742	30.28603745	30.41568565	30.33745384						21	21	21	63.3	63.3	63.3	48.581	0	323.31	15084000000	138	0.747008038	0.795218036	-0.137814522	-1.521082288	sp|P00370|DHE4_ECOLI	sp|P00370|DHE4_ECOLI	112
30.78058243	30.81375313	30.90576744	30.59779167	30.94698334	30.7790966	31.08588028	30.88925171						17	17	17	57.6	57.6	57.6	47.358	0	323.31	22013000000	120	0.830304185	0.795218036	-0.150829315	-1.660862327	sp|P00393|NDH_ECOLI	sp|P00393|NDH_ECOLI	113
33.23820114	33.20635605	33.18084335	33.30225754	33.26416397	33.30225754	33.24217987	33.12529373						19	19	19	95.6	95.6	95.6	23.097	0	323.31	1.1789E+11	320	0.011345091	0.999856469	-0.001559258	-0.033692534	sp|P00448|SODM_ECOLI	sp|P00448|SODM_ECOLI	114
31.75023079	31.82899857	31.70078659	31.84722328	31.88420105	31.67113876	31.89413834	31.87147903						35	35	35	53.1	53.1	53.1	85.774	0	323.31	43785000000	261	0.324949718	0.827885691	-0.048429489	-0.765129173	sp|P00452|RIR1_ECOLI	sp|P00452|RIR1_ECOLI	115
32.25093079	32.07140732	32.17370224	32.15478516	32.14673615	32.15369797	32.09857941	32.22000122						41	41	41	64.2	64.2	64.2	90.521	0	323.31	55241000000	307	0.063437978	0.965841999	0.00795269	0.178644847	sp|P00490|PHSM_ECOLI	sp|P00490|PHSM_ECOLI	116
33.43328094	33.42592239	33.56921387	33.58877563	33.56342697	33.55625153	33.46185303	33.71487427						27	27	27	73.5	73.5	73.5	43.573	0	323.31	1.4668E+11	564	0.463657449	0.795218036	-0.069803238	-1.027463395	sp|P00509|AAT_ECOLI	sp|P00509|AAT_ECOLI	117
26.17462921	25.90754318	26.3001976	26.28959465	25.94842148	0	25.88231659	26.25735092						6	6	6	31.9	31.9	31.9	33.623	0	37.134	801540000	13	0.46018333	0.795218036	6.645968914	1.021122214	sp|P00547|KHSE_ECOLI	sp|P00547|KHSE_ECOLI	118
30.86334038	31.14873886	31.06894493	31.33814621	31.33410072	30.9573307	31.45248222	31.31138039						20	20	20	44.4	44.4	44.4	67.971	0	323.31	29907000000	213	0.5014813	0.795218036	-0.159030914	-1.09589675	sp|P00550|PTM3C_ECOLI	sp|P00550|PTM3C_ECOLI	119
29.57798386	29.80153275	29.7593708	29.73744202	29.80301094	29.59193802	29.7469368	29.79504204						26	26	26	46.1	46.1	46.1	89.119	0	263.03	10653000000	128	0.078821695	0.949128535	-0.015149593	-0.218847077	sp|P00561|AK1H_ECOLI	sp|P00561|AK1H_ECOLI	120
28.44553375	27.76540756	28.17978096	27.65669632	28.09511757	28.2606926	28.01605797	27.86064911						20	20	20	31.4	31.4	31.4	88.887	0	77.543	3118800000	67	0.083107985	0.944718342	-0.046274662	-0.22986525	sp|P00562|AK2H_ECOLI	sp|P00562|AK2H_ECOLI	121
32.6090889	32.17703247	32.0544281	31.97288513	32.0297966	31.99880028	31.91167259	31.96667671						24	24	23	41.8	41.8	40.1	70.263	0	323.31	52889000000	224	0.779415166	0.795218036	0.226622105	1.575623707	sp|P00579|RPOD_ECOLI	sp|P00579|RPOD_ECOLI	122
31.82327652	31.76489449	31.77309418	31.80896759	31.85192108	31.75692558	31.81829453	31.83691788						44	44	44	61.4	61.4	61.4	103.12	0	323.31	43397000000	436	0.412645723	0.795218036	-0.023456573	-0.933301939	sp|P00582|DPO1_ECOLI	sp|P00582|DPO1_ECOLI	123
28.94033241	29.04578018	29.25270653	29.09247398	29.07324219	29.08605766	29.00292397	29.05369759						17	17	17	50.7	50.7	50.7	49.438	0	242.01	6764700000	55	0.164967044	0.888849365	0.028842926	0.427454701	sp|P00634|PPB_ECOLI	sp|P00634|PPB_ECOLI	124
29.0413208	28.58824348	28.5923481	28.75573158	28.61813927	28.56416321	28.62843132	28.59708214						24	24	24	30	30	30	116.48	0	118.61	5004200000	63	0.633307529	0.795218036	0.142457008	1.327409358	sp|P00722|BGAL_ECOLI	sp|P00722|BGAL_ECOLI	125
31.03288841	30.27830315	30.47749901	30.14016914	29.93887711	30.85110283	29.96884155	29.87029457						11	11	11	38.9	38.9	38.9	35.96	0	69.532	14701000000	53	0.486523034	0.795218036	0.324935913	1.068961403	sp|P00803|LEP_ECOLI	sp|P00803|LEP_ECOLI	126
29.46415901	29.52121925	29.793787	29.58204651	29.46538544	29.53567696	29.79010963	29.75388527						13	13	13	53.4	53.4	53.4	36.85	0	313.49	9318600000	69	0.164802856	0.888849365	-0.04596138	-0.427079464	sp|P00805|ASPG2_ECOLI	sp|P00805|ASPG2_ECOLI	127
27.37152481	26.99172401	26.50494385	26.58075333	26.79575539	27.11127853	26.71855736	27.19826126						9	9	9	25.5	25.5	25.5	41.555	0	38.34	1442400000	23	0.154493815	0.894085758	-0.093726635	-0.403368928	sp|P00811|AMPC_ECOLI	sp|P00811|AMPC_ECOLI	128
0	0	0	0	0	0	25.31551552	0						4	4	4	28.8	28.8	28.8	46.177	0	13.435	316750000	2	NaN	NaN	0	NaN	sp|P00861|DCDA_ECOLI	sp|P00861|DCDA_ECOLI	129
32.37730789	32.19025421	32.06689453	32.03803253	32.02419281	32.18180847	32.0763855	32.03131104						52	52	52	67	67	67	99.061	0	323.31	53206000000	329	0.477042641	0.795218036	0.089697838	1.051804762	sp|P00864|CAPP_ECOLI	sp|P00864|CAPP_ECOLI	130
28.55830002	28.44521713	28.30007553	28.41948891	28.48220062	28.24022675	28.48408318	28.44545364						10	10	10	38.2	38.2	38.2	38.735	0	63.165	4237000000	48	0.081506692	0.945490386	0.01777935	0.225758057	sp|P00887|AROH_ECOLI	sp|P00887|AROH_ECOLI	131
0	0	0	0	0	0	0	24.90104103						1	1	1	3.9	3.9	3.9	38.804	0	5.7194	261060000	2	NaN	NaN	0	NaN	sp|P00888|AROF_ECOLI	sp|P00888|AROF_ECOLI	132
0	0	0	25.3357563	25.36382675	0	0	0						4	4	4	11.1	11.1	11.1	62.984	0	14.459	378210000	4	NaN	NaN	0	NaN	sp|P00893|ILVI_ECOLI	sp|P00893|ILVI_ECOLI	133
25.4126091	24.84325981	24.71586227	24.61374855	24.69466209	24.7961998	0	23.84947777						3	3	3	23.9	23.9	23.9	17.977	0	17.658	273810000	7	0.488460697	0.795218036	6.561285019	1.072459705	sp|P00894|ILVH_ECOLI	sp|P00894|ILVH_ECOLI	134
29.51861382	29.36540413	29.17023659	29.09020424	29.27646446	28.87446404	29.22313118	29.21523476						16	16	16	39	39	39	57.494	0	84.498	7103300000	54	0.470644107	0.795218036	0.138791084	1.040186457	sp|P00895|TRPE_ECOLI	sp|P00895|TRPE_ECOLI	135
0	0	0	0	0	0	0	23.45512962						1	1	1	11.2	11.2	11.2	20.772	0	4.3445	105870000	5	NaN	NaN	0	NaN	sp|P00903|PABA_ECOLI	sp|P00903|PABA_ECOLI	136
28.33415413	28.22029686	27.97355652	28.29977036	28.1984024	27.77843857	28.29421425	27.83008003						12	12	12	37.9	37.9	37.9	56.869	0	117.1	3519700000	43	0.553044679	0.795218036	0.181660652	1.187599608	sp|P00904|TRPGD_ECOLI	sp|P00904|TRPGD_ECOLI	137
29.06694412	28.88713074	28.61859512	28.46025658	28.71685791	28.3340683	28.87929344	28.75979996						14	14	14	40.2	40.2	40.2	49.492	0	172.68	5140100000	57	0.187065135	0.880623005	0.085726738	0.47730779	sp|P00909|TRPC_ECOLI	sp|P00909|TRPC_ECOLI	138
28.5616169	28.76600838	28.7916317	29.0048542	28.95867348	28.81317139	28.99940681	28.98081779						15	15	15	47.1	47.1	47.1	47.9	0	99.845	5665500000	74	0.775262185	0.795218036	-0.156989574	-1.568646796	sp|P00926|SDHD_ECOLI	sp|P00926|SDHD_ECOLI	139
30.85251617	31.12817001	30.97732735	31.09162903	31.08796692	30.92684174	31.23529243	31.04570198						23	23	23	72.4	72.4	72.4	47.113	0	323.31	25984000000	209	0.287930664	0.840727676	-0.061540127	-0.691144018	sp|P00934|THRC_ECOLI	sp|P00934|THRC_ECOLI	140
26.56511688	26.52294922	26.70067978	26.45596123	26.21634102	26.45059204	26.80784035	26.59078026						6	6	6	25.4	25.4	25.4	41.55	0	19.643	1139800000	8	0.124746907	0.907952935	0.044788361	0.333182234	sp|P00935|METB_ECOLI	sp|P00935|METB_ECOLI	141
0	0	0	0	23.9401989	0	0	0						2	2	2	2.5	2.5	2.5	97.585	0.00092421	3.4445	123380000	2	NaN	NaN	0	NaN	sp|P00936|CYAA_ECOLI	sp|P00936|CYAA_ECOLI	142
28.0513916	28.09602356	27.61526489	28.10644531	28.15286636	28.0812149	28.15223694	28.08156967						16	16	16	49.1	49.1	49.1	49.741	0	102.53	3393800000	55	0.588836585	0.795218036	-0.149690628	-1.250336957	sp|P00944|XYLA_ECOLI	sp|P00944|XYLA_ECOLI	143
30.98107719	31.36149788	31.35840988	31.58651733	31.47822189	31.26651192	31.64004898	31.48298836						18	18	18	69.6	69.6	69.6	42.849	0	323.31	31867000000	209	0.441194529	0.795218036	-0.145067215	-0.986284392	sp|P00946|MANA_ECOLI	sp|P00946|MANA_ECOLI	144
30.43718147	31.06368256	31.00135422	31.46528816	31.30296326	31.00269508	31.39079475	31.33170128						17	17	17	68.9	68.9	68.9	37.437	0	218.04	27902000000	216	0.537277284	0.795218036	-0.265161991	-1.159734829	sp|P00954|SYW_ECOLI	sp|P00954|SYW_ECOLI	145
33.07448959	32.94457626	33.04706573	32.98155212	32.97981644	33.05172729	33.03876877	33.00383377						52	52	52	75.3	75.3	75.3	104.3	0	323.31	1.0169E+11	507	0.06958868	0.958116468	-0.006615639	-0.194845013	sp|P00956|SYI_ECOLI	sp|P00956|SYI_ECOLI	146
33.48867416	33.41109467	33.3167572	33.37036133	33.4253006	33.28264618	33.44874573	33.25982285						50	50	50	69.7	69.7	69.7	96.031	0	323.31	1.3311E+11	492	0.294898854	0.840727676	0.042593002	0.705228281	sp|P00957|SYA_ECOLI	sp|P00957|SYA_ECOLI	147
32.01750565	32.28595734	32.28140259	32.5398941	32.44675064	32.21977234	32.58875275	32.49147034						37	37	37	69.1	69.1	69.1	76.254	0	323.31	67382000000	304	0.546539015	0.795218036	-0.155496597	-1.176120317	sp|P00959|SYM_ECOLI	sp|P00959|SYM_ECOLI	148
31.12964439	31.51455688	31.27442169	31.77568626	31.79784203	31.5239315	31.67113876	31.67959404						11	11	11	47.2	47.2	47.2	34.774	0	273.51	40149000000	165	0.796799728	0.795218036	-0.244549274	-1.604793009	sp|P00960|SYGA_ECOLI	sp|P00960|SYGA_ECOLI	149
33.37787628	33.52554321	33.57913971	33.687603	33.7759819	33.55944443	33.79594803	33.79701233						53	53	53	82.6	82.6	82.6	76.812	0	323.31	1.5932E+11	804	1.148942863	0.795218036	-0.189556122	-2.19110021	sp|P00961|SYGB_ECOLI	sp|P00961|SYGB_ECOLI	150
31.64241791	31.82494545	31.70697212	31.95584297	31.92609787	31.83556366	31.96629906	32.02956772						28	28	28	60.6	60.6	60.6	63.477	0	292.06	45403000000	215	1.00895501	0.795218036	-0.156837463	-1.958053387	sp|P00962|SYQ_ECOLI	sp|P00962|SYQ_ECOLI	151
28.88107491	29.02836227	28.83004951	28.97751999	29.027071	28.93640709	28.92770386	28.69032478						12	12	12	53.3	53.3	53.3	36.65	0	217.17	5987400000	47	0.152670636	0.894322956	0.033874989	0.399144291	sp|P00963|ASNA_ECOLI	sp|P00963|ASNA_ECOLI	152
31.64705849	31.50743866	31.54595566	31.55274963	31.4948597	31.59129715	31.54742813	31.70062065						45	45	45	54.1	54.1	54.1	117.84	0	323.31	36820000000	328	0.145897246	0.895433531	-0.020250797	-0.383363998	sp|P00968|CARB_ECOLI	sp|P00968|CARB_ECOLI	153
