,Protein,Label,log2FC,SE,Tvalue,DF,pvalue,adj.pvalue,issue,MissingPercentage,ImputationPercentage
86,sp|O14874|BCKD_HUMAN,SP=Yeast;CT=Mixture;QY=4-SP=Yeast;CT=Mixture;QY=1,-0.360146736,0.167057023,-2.155831168,10,0.056505753,0.101324517,NA,0.333333333,0.333333333
89,sp|O14974|MYPT1_HUMAN,SP=Yeast;CT=Mixture;QY=4-SP=Yeast;CT=Mixture;QY=1,-0.538615834,0.161126749,-3.342808291,15,0.004450515,0.012269823,NA,0.294871795,0.294871795
92,sp|O15014|ZN609_HUMAN,SP=Yeast;CT=Mixture;QY=4-SP=Yeast;CT=Mixture;QY=1,-0.180200436,0.041767948,-4.314323447,15,0.000613865,0.002332101,NA,0.279166667,0.279166667
95,sp|O15027|SC16A_HUMAN,SP=Yeast;CT=Mixture;QY=4-SP=Yeast;CT=Mixture;QY=1,-0.099984492,0.146861669,-0.68080727,15,0.506367683,0.598743024,NA,0.270833333,0.270833333
98,sp|O15042|SR140_HUMAN,SP=Yeast;CT=Mixture;QY=4-SP=Yeast;CT=Mixture;QY=1,-0.006247564,0.127363741,-0.049052925,15,0.961524318,0.968231209,NA,0.291666667,0.291666667
101,sp|O15075|DCLK1_HUMAN,SP=Yeast;CT=Mixture;QY=4-SP=Yeast;CT=Mixture;QY=1,-0.33543648,0.057208484,-5.86340447,15,3.12E-05,0.000174311,NA,0.25,0.25
104,sp|O15144|ARPC2_HUMAN,SP=Yeast;CT=Mixture;QY=4-SP=Yeast;CT=Mixture;QY=1,0.170639743,0.280410445,0.608535616,15,0.551936838,0.637561309,NA,0.25,0.25
107,sp|O15164|TIF1A_HUMAN,SP=Yeast;CT=Mixture;QY=4-SP=Yeast;CT=Mixture;QY=1,-0.278371923,0.04357481,-6.388367967,15,1.22E-05,7.50E-05,NA,0,0
110,sp|O15173|PGRC2_HUMAN,SP=Yeast;CT=Mixture;QY=4-SP=Yeast;CT=Mixture;QY=1,0.540328865,0.256525132,2.106338902,15,0.052425945,0.095254464,NA,0.333333333,0.333333333
113,sp|O15234|CASC3_HUMAN,SP=Yeast;CT=Mixture;QY=4-SP=Yeast;CT=Mixture;QY=1,-0.280793863,0.051354087,-5.467799758,15,6.49E-05,0.000331161,NA,0.259259259,0.259259259
116,sp|O15347|HMGB3_HUMAN,SP=Yeast;CT=Mixture;QY=4-SP=Yeast;CT=Mixture;QY=1,-0.124190843,0.251901062,-0.493014368,15,0.62914157,0.701598886,NA,0.25,0.25
119,sp|O15371|EIF3D_HUMAN,SP=Yeast;CT=Mixture;QY=4-SP=Yeast;CT=Mixture;QY=1,-0.135914805,0.476129827,-0.285457447,14,0.779473497,0.826856322,NA,0.604166667,0.520833333
122,sp|O15372|EIF3H_HUMAN,SP=Yeast;CT=Mixture;QY=4-SP=Yeast;CT=Mixture;QY=1,-0.618552493,0.385250169,-1.605586555,15,0.129207316,0.201751444,NA,0.216666667,0.216666667
125,sp|O15417|TNC18_HUMAN,SP=Yeast;CT=Mixture;QY=4-SP=Yeast;CT=Mixture;QY=1,0.188805539,0.227358716,0.83043018,15,0.41931731,0.514985219,NA,0.25,0.25
128,sp|O15427|MOT4_HUMAN,SP=Yeast;CT=Mixture;QY=4-SP=Yeast;CT=Mixture;QY=1,-0.133171845,0.088905227,-1.497907928,15,0.154904104,0.232722533,NA,0.263888889,0.263888889
131,sp|O15446|RPA34_HUMAN,SP=Yeast;CT=Mixture;QY=4-SP=Yeast;CT=Mixture;QY=1,0.352927693,0.423163796,0.834021475,15,0.417353366,0.51336727,NA,0.380952381,0.380952381
134,sp|O15534|PER1_HUMAN,SP=Yeast;CT=Mixture;QY=4-SP=Yeast;CT=Mixture;QY=1,-0.153690462,0.098616744,-1.558462142,15,0.139969008,0.21454709,NA,0.083333333,0.083333333
137,sp|O43159|RRP8_HUMAN,SP=Yeast;CT=Mixture;QY=4-SP=Yeast;CT=Mixture;QY=1,-0.267351544,0.101091661,-2.644644884,15,0.018387027,0.040121298,NA,0.19047619,0.19047619
140,sp|O43164|PJA2_HUMAN,SP=Yeast;CT=Mixture;QY=4-SP=Yeast;CT=Mixture;QY=1,-0.115307057,0.474794139,-0.242856952,15,0.811405785,0.851627486,NA,0.291666667,0.291666667
143,sp|O43166|SI1L1_HUMAN,SP=Yeast;CT=Mixture;QY=4-SP=Yeast;CT=Mixture;QY=1,-0.264224342,0.049838261,-5.301636475,15,8.88E-05,0.000431104,NA,0.229166667,0.229166667
146,sp|O43294|TGFI1_HUMAN,SP=Yeast;CT=Mixture;QY=4-SP=Yeast;CT=Mixture;QY=1,-0.125390178,0.051142876,-2.451762336,15,0.026947907,0.054792928,NA,0.208333333,0.208333333
149,sp|O43314|VIP2_HUMAN,SP=Yeast;CT=Mixture;QY=4-SP=Yeast;CT=Mixture;QY=1,-0.265831155,0.260415534,-1.020796073,13,0.325972785,0.42050754,NA,0.388888889,0.388888889
152,sp|O43390|HNRPR_HUMAN,SP=Yeast;CT=Mixture;QY=4-SP=Yeast;CT=Mixture;QY=1,-0.415505476,0.1866367,-2.226279593,15,0.041744691,0.079294939,NA,0.3,0.3
155,sp|O43395|PRPF3_HUMAN,SP=Yeast;CT=Mixture;QY=4-SP=Yeast;CT=Mixture;QY=1,-0.293770988,0.050545081,-5.812058922,15,3.42E-05,0.000189468,NA,0.319444444,0.319444444
158,sp|O43399|TPD54_HUMAN,SP=Yeast;CT=Mixture;QY=4-SP=Yeast;CT=Mixture;QY=1,-0.355711016,0.03704551,-9.602000761,15,8.50E-08,8.71E-07,NA,0.316666667,0.316666667
161,sp|O43432|IF4G3_HUMAN,SP=Yeast;CT=Mixture;QY=4-SP=Yeast;CT=Mixture;QY=1,-0.188685798,0.063036348,-2.993285708,15,0.009096237,0.022395077,NA,0.175925926,0.175925926
164,sp|O43491|E41L2_HUMAN,SP=Yeast;CT=Mixture;QY=4-SP=Yeast;CT=Mixture;QY=1,-0.246402026,0.039908976,-6.174100463,15,1.78E-05,0.000105864,NA,0.189814815,0.189814815
167,sp|O43493|TGON2_HUMAN,SP=Yeast;CT=Mixture;QY=4-SP=Yeast;CT=Mixture;QY=1,-0.118880886,0.178096899,-0.667506773,15,0.514587585,0.604859426,NA,0.427083333,0.427083333
170,sp|O43583|DENR_HUMAN,SP=Yeast;CT=Mixture;QY=4-SP=Yeast;CT=Mixture;QY=1,-0.290483607,0.107068891,-2.713053275,15,0.016033392,0.035759868,NA,0.15,0.15
173,sp|O43663|PRC1_HUMAN,SP=Yeast;CT=Mixture;QY=4-SP=Yeast;CT=Mixture;QY=1,-0.711136839,0.327963904,-2.16833874,15,0.046623651,0.086291792,NA,0.15,0.15
176,sp|O43683|BUB1_HUMAN,SP=Yeast;CT=Mixture;QY=4-SP=Yeast;CT=Mixture;QY=1,-0.161871821,0.122626998,-1.320034122,15,0.206614493,0.292274522,NA,0.270833333,0.270833333
179,sp|O43707|ACTN4_HUMAN,SP=Yeast;CT=Mixture;QY=4-SP=Yeast;CT=Mixture;QY=1,-0.366774326,0.085914042,-4.269084769,15,0.000672369,0.002508298,NA,0.265151515,0.265151515
182,sp|O43719|HTSF1_HUMAN,SP=Yeast;CT=Mixture;QY=4-SP=Yeast;CT=Mixture;QY=1,0.015509816,0.015686233,0.988753353,15,0.338466,0.433454846,NA,0.162037037,0.162037037
185,sp|O43768|ENSA_HUMAN,SP=Yeast;CT=Mixture;QY=4-SP=Yeast;CT=Mixture;QY=1,-0.237172465,0.104235123,-2.275360343,15,0.037988461,0.073567898,NA,0.083333333,0.083333333
188,sp|O43815|STRN_HUMAN,SP=Yeast;CT=Mixture;QY=4-SP=Yeast;CT=Mixture;QY=1,1.468018837,0.332106326,4.420327838,15,0.000496297,0.001975238,NA,0.380952381,0.380952381
191,sp|O43852|CALU_HUMAN,SP=Yeast;CT=Mixture;QY=4-SP=Yeast;CT=Mixture;QY=1,-1.162221556,0.380652157,-3.053237802,13,0.009242218,0.02271926,NA,0.444444444,0.361111111
194,sp|O43933|PEX1_HUMAN,SP=Yeast;CT=Mixture;QY=4-SP=Yeast;CT=Mixture;QY=1,-0.13906159,0.320851917,-0.433413615,14,0.671317833,0.736733047,NA,0.541666667,0.458333333
197,sp|O60264|SMCA5_HUMAN,SP=Yeast;CT=Mixture;QY=4-SP=Yeast;CT=Mixture;QY=1,0.451393957,0.157140162,2.872556269,15,0.011623496,0.027467428,NA,0.185897436,0.185897436
200,sp|O60271|JIP4_HUMAN,SP=Yeast;CT=Mixture;QY=4-SP=Yeast;CT=Mixture;QY=1,-0.221809924,0.063747289,-3.479519328,15,0.003361894,0.009689087,NA,0.246376812,0.246376812
203,sp|O60292|SI1L3_HUMAN,SP=Yeast;CT=Mixture;QY=4-SP=Yeast;CT=Mixture;QY=1,-0.316081301,0.19850404,-1.592316712,15,0.132163798,0.204957141,NA,0.583333333,0.583333333
206,sp|O60293|ZC3H1_HUMAN,SP=Yeast;CT=Mixture;QY=4-SP=Yeast;CT=Mixture;QY=1,-0.01605563,0.149975018,-0.107055364,15,0.916163789,0.939215859,NA,0.25,0.25
209,sp|O60303|KATIP_HUMAN,SP=Yeast;CT=Mixture;QY=4-SP=Yeast;CT=Mixture;QY=1,-0.404369384,0.200559492,-2.016206662,15,0.062051883,0.109244335,NA,0.25,0.25
212,sp|O60315|ZEB2_HUMAN,SP=Yeast;CT=Mixture;QY=4-SP=Yeast;CT=Mixture;QY=1,-0.430521832,0.10608232,-4.058374973,14,0.001173858,0.003966142,NA,0,0
215,sp|O60437|PEPL_HUMAN,SP=Yeast;CT=Mixture;QY=4-SP=Yeast;CT=Mixture;QY=1,0.098795398,0.17055356,0.579263185,12,0.573125345,0.654680718,NA,0.694444444,0.444444444
218,sp|O60502|OGA_HUMAN,SP=Yeast;CT=Mixture;QY=4-SP=Yeast;CT=Mixture;QY=1,0.565408504,0.268008337,2.109667597,14,0.053369368,0.096636895,NA,0.442307692,0.358974359
221,sp|O60503|ADCY9_HUMAN,SP=Yeast;CT=Mixture;QY=4-SP=Yeast;CT=Mixture;QY=1,0.17533226,0.260064443,0.674187744,12,0.51297035,0.603852421,NA,0.444444444,0.444444444
224,sp|O60506|HNRPQ_HUMAN,SP=Yeast;CT=Mixture;QY=4-SP=Yeast;CT=Mixture;QY=1,-0.484035668,0.219753164,-2.20263344,15,0.043675479,0.082176138,NA,0.3,0.3
227,sp|O60524|NEMF_HUMAN,SP=Yeast;CT=Mixture;QY=4-SP=Yeast;CT=Mixture;QY=1,0.492687579,0.380332527,1.295412683,15,0.214760011,0.301005205,NA,0.297619048,0.297619048
230,sp|O60551|NMT2_HUMAN,SP=Yeast;CT=Mixture;QY=4-SP=Yeast;CT=Mixture;QY=1,-0.105870853,0.084192613,-1.257483878,15,0.227804574,0.315942064,NA,0.270833333,0.270833333
233,sp|O60610|DIAP1_HUMAN,SP=Yeast;CT=Mixture;QY=4-SP=Yeast;CT=Mixture;QY=1,0.553983979,0.08773199,6.314503712,11,5.72E-05,0.000297392,NA,0.611111111,0.277777778
236,sp|O60664|PLIN3_HUMAN,SP=Yeast;CT=Mixture;QY=4-SP=Yeast;CT=Mixture;QY=1,0.541960009,0.417599428,1.297798733,14,0.215332523,0.301541487,NA,0.555555556,0.472222222
239,sp|O60669|MOT2_HUMAN,SP=Yeast;CT=Mixture;QY=4-SP=Yeast;CT=Mixture;QY=1,-0.159806772,0.190949542,-0.836905763,14,0.416703109,0.513276163,NA,0.375,0.375
242,sp|O60716|CTND1_HUMAN,SP=Yeast;CT=Mixture;QY=4-SP=Yeast;CT=Mixture;QY=1,0.312995547,0.335174379,0.933828975,7,0.381475839,0.478275999,NA,0.583333333,0.333333333
245,sp|O60832|DKC1_HUMAN,SP=Yeast;CT=Mixture;QY=4-SP=Yeast;CT=Mixture;QY=1,0.391580896,0.122937097,3.185213458,15,0.006147129,0.016081781,NA,0.243055556,0.243055556
248,sp|O60841|IF2P_HUMAN,SP=Yeast;CT=Mixture;QY=4-SP=Yeast;CT=Mixture;QY=1,0.159206984,0.133738306,1.190436676,15,0.252374335,0.34283186,NA,0.225225225,0.225225225
251,sp|O60885|BRD4_HUMAN,SP=Yeast;CT=Mixture;QY=4-SP=Yeast;CT=Mixture;QY=1,-0.03389007,0.069837977,-0.485267065,15,0.63449801,0.705590224,NA,0.25,0.25
254,sp|O60890|OPHN1_HUMAN,SP=Yeast;CT=Mixture;QY=4-SP=Yeast;CT=Mixture;QY=1,0.539120785,0.446651081,1.20702895,15,0.246111458,0.336049008,NA,0.333333333,0.333333333
257,sp|O60934|NBN_HUMAN,SP=Yeast;CT=Mixture;QY=4-SP=Yeast;CT=Mixture;QY=1,-0.253334163,0.066903722,-3.786548103,15,0.001791843,0.005668221,NA,0.19047619,0.19047619
260,sp|O75044|SRGP2_HUMAN,SP=Yeast;CT=Mixture;QY=4-SP=Yeast;CT=Mixture;QY=1,0.184448542,0.140522248,1.312593159,13,0.212021624,0.298219964,NA,0.25,0.25
263,sp|O75113|N4BP1_HUMAN,SP=Yeast;CT=Mixture;QY=4-SP=Yeast;CT=Mixture;QY=1,-0.3228579,0.174872229,-1.846250264,15,0.084682196,0.141702137,NA,0.25,0.25
266,sp|O75116|ROCK2_HUMAN,SP=Yeast;CT=Mixture;QY=4-SP=Yeast;CT=Mixture;QY=1,-0.317754072,0.177044722,-1.79476727,12,0.097900942,0.160188293,NA,0.416666667,0.333333333
269,sp|O75128|COBL_HUMAN,SP=Yeast;CT=Mixture;QY=4-SP=Yeast;CT=Mixture;QY=1,-0.368015967,0.117144588,-3.141553308,15,0.006721467,0.017327418,NA,0.30952381,0.30952381
272,sp|O75151|PHF2_HUMAN,SP=Yeast;CT=Mixture;QY=4-SP=Yeast;CT=Mixture;QY=1,0.110536859,0.239904784,0.460753044,15,0.651585287,0.720555317,NA,0.269607843,0.269607843
275,sp|O75152|ZC11A_HUMAN,SP=Yeast;CT=Mixture;QY=4-SP=Yeast;CT=Mixture;QY=1,0.451305454,0.170640403,2.644774897,15,0.018382253,0.040121298,NA,0.404761905,0.404761905
278,sp|O75179|ANR17_HUMAN,SP=Yeast;CT=Mixture;QY=4-SP=Yeast;CT=Mixture;QY=1,0.227150103,0.142744467,1.591305831,15,0.132391369,0.205109751,NA,0.324074074,0.324074074
281,sp|O75351|VPS4B_HUMAN,SP=Yeast;CT=Mixture;QY=4-SP=Yeast;CT=Mixture;QY=1,-0.155120787,0.079939478,-1.940477865,15,0.071356533,0.122369519,NA,0.020833333,0.020833333
284,sp|O75362|ZN217_HUMAN,SP=Yeast;CT=Mixture;QY=4-SP=Yeast;CT=Mixture;QY=1,-0.285982605,0.060546357,-4.723366056,15,0.000271906,0.001160268,NA,0.066666667,0.066666667
287,sp|O75367|H2AY_HUMAN,SP=Yeast;CT=Mixture;QY=4-SP=Yeast;CT=Mixture;QY=1,0.175759544,0.181404253,0.968883261,15,0.347967484,0.444190004,NA,0.351851852,0.351851852
290,sp|O75369|FLNB_HUMAN,SP=Yeast;CT=Mixture;QY=4-SP=Yeast;CT=Mixture;QY=1,-0.443757481,0.104743641,-4.236605458,15,0.000717858,0.002626631,NA,0.244047619,0.244047619
293,sp|O75376|NCOR1_HUMAN,SP=Yeast;CT=Mixture;QY=4-SP=Yeast;CT=Mixture;QY=1,-0.32031112,0.061279164,-5.227080435,15,0.000102318,0.00048502,NA,0.185897436,0.185897436
296,sp|O75400|PR40A_HUMAN,SP=Yeast;CT=Mixture;QY=4-SP=Yeast;CT=Mixture;QY=1,-0.003642817,0.088428881,-0.041194882,15,0.967683865,0.973199479,NA,0.324074074,0.324074074
299,sp|O75410|TACC1_HUMAN,SP=Yeast;CT=Mixture;QY=4-SP=Yeast;CT=Mixture;QY=1,-0.003269727,0.265388397,-0.012320535,15,0.990332259,0.990347567,NA,0.633333333,0.633333333
302,sp|O75420|GGYF1_HUMAN,SP=Yeast;CT=Mixture;QY=4-SP=Yeast;CT=Mixture;QY=1,-2.781656948,0.587314242,-4.736232749,13,0.000388954,0.001587811,NA,0.583333333,0.583333333
305,sp|O75475|PSIP1_HUMAN,SP=Yeast;CT=Mixture;QY=4-SP=Yeast;CT=Mixture;QY=1,-0.117468743,0.055937423,-2.100002767,15,0.05305498,0.096177292,NA,0.272988506,0.272988506
308,sp|O75533|SF3B1_HUMAN,SP=Yeast;CT=Mixture;QY=4-SP=Yeast;CT=Mixture;QY=1,0.046741357,0.064657526,0.72290668,15,0.480858069,0.575001968,NA,0.40990991,0.40990991
311,sp|O75592|MYCB2_HUMAN,SP=Yeast;CT=Mixture;QY=4-SP=Yeast;CT=Mixture;QY=1,0.08678034,0.080547487,1.077381108,15,0.298332505,0.392796224,NA,0.240196078,0.240196078
314,sp|O75643|U520_HUMAN,SP=Yeast;CT=Mixture;QY=4-SP=Yeast;CT=Mixture;QY=1,-0.533913767,0.24436652,-2.184889183,15,0.045178554,0.083910578,NA,0.5,0.5
317,sp|O75665|OFD1_HUMAN,SP=Yeast;CT=Mixture;QY=4-SP=Yeast;CT=Mixture;QY=1,-0.132617799,0.085614897,-1.54900378,15,0.142218321,0.216947833,NA,0.283333333,0.283333333
320,sp|O75683|SURF6_HUMAN,SP=Yeast;CT=Mixture;QY=4-SP=Yeast;CT=Mixture;QY=1,-0.136674748,0.131618451,-1.038416319,15,0.315526601,0.409694392,NA,0.25,0.25
323,sp|O75691|UTP20_HUMAN,SP=Yeast;CT=Mixture;QY=4-SP=Yeast;CT=Mixture;QY=1,0.013990517,0.121365608,0.115275795,15,0.909755542,0.93386671,NA,0.111111111,0.111111111
326,sp|O75717|WDHD1_HUMAN,SP=Yeast;CT=Mixture;QY=4-SP=Yeast;CT=Mixture;QY=1,-0.295758386,0.156866358,-1.885416285,15,0.078894075,0.133280629,NA,0.571428571,0.571428571
329,sp|O75781|PALM_HUMAN,SP=Yeast;CT=Mixture;QY=4-SP=Yeast;CT=Mixture;QY=1,-0.301502678,0.096510854,-3.124028703,15,0.006966644,0.017843598,NA,0.189393939,0.189393939
332,sp|O75821|EIF3G_HUMAN,SP=Yeast;CT=Mixture;QY=4-SP=Yeast;CT=Mixture;QY=1,-0.430775097,0.335246652,-1.284949736,15,0.218297869,0.305424683,NA,0.3,0.3
335,sp|O75822|EIF3J_HUMAN,SP=Yeast;CT=Mixture;QY=4-SP=Yeast;CT=Mixture;QY=1,-0.244695801,0.048662157,-5.0284619,15,0.000149879,0.000676159,NA,0.116666667,0.116666667
338,sp|O75909|CCNK_HUMAN,SP=Yeast;CT=Mixture;QY=4-SP=Yeast;CT=Mixture;QY=1,-0.613657592,0.257426446,-2.383817206,15,0.030782524,0.061642683,NA,0.229166667,0.229166667
341,sp|O75962|TRIO_HUMAN,SP=Yeast;CT=Mixture;QY=4-SP=Yeast;CT=Mixture;QY=1,-0.140752814,0.066694777,-2.110402345,15,0.052026159,0.094636358,NA,0.078125,0.078125
344,sp|O75970|MPDZ_HUMAN,SP=Yeast;CT=Mixture;QY=4-SP=Yeast;CT=Mixture;QY=1,0.142769299,0.183150524,0.779518921,15,0.44779939,0.54455143,NA,0.305555556,0.305555556
347,sp|O76003|GLRX3_HUMAN,SP=Yeast;CT=Mixture;QY=4-SP=Yeast;CT=Mixture;QY=1,-0.432718232,0.082696686,-5.232594564,15,0.000101247,0.000481378,NA,0,0
350,sp|O76021|RL1D1_HUMAN,SP=Yeast;CT=Mixture;QY=4-SP=Yeast;CT=Mixture;QY=1,-0.052172715,0.035532337,-1.468316467,15,0.16267501,0.241202536,NA,0.210526316,0.210526316
353,sp|O76094|SRP72_HUMAN,SP=Yeast;CT=Mixture;QY=4-SP=Yeast;CT=Mixture;QY=1,-0.10150507,0.214706682,-0.472761581,15,0.64318883,0.71275915,NA,0.479166667,0.479166667
356,sp|O94782|UBP1_HUMAN,SP=Yeast;CT=Mixture;QY=4-SP=Yeast;CT=Mixture;QY=1,-0.212317412,0.056422625,-3.762983605,15,0.001880328,0.005889468,NA,0.166666667,0.166666667
359,sp|O94804|STK10_HUMAN,SP=Yeast;CT=Mixture;QY=4-SP=Yeast;CT=Mixture;QY=1,-0.203796307,0.105574739,-1.930351039,15,0.072692136,0.124391285,NA,0.233333333,0.233333333
362,sp|O94806|KPCD3_HUMAN,SP=Yeast;CT=Mixture;QY=4-SP=Yeast;CT=Mixture;QY=1,-0.013796831,0.179094332,-0.07703667,15,0.939612549,0.955864656,NA,0.263888889,0.263888889
365,sp|O94854|K0754_HUMAN,SP=Yeast;CT=Mixture;QY=4-SP=Yeast;CT=Mixture;QY=1,-0.088727697,0.354587814,-0.25022771,15,0.805806043,0.84686962,NA,0.583333333,0.583333333
368,sp|O94880|PHF14_HUMAN,SP=Yeast;CT=Mixture;QY=4-SP=Yeast;CT=Mixture;QY=1,-0.020744887,0.15083887,-0.137530116,15,0.892440909,0.920855206,NA,0.284722222,0.284722222
371,sp|O94906|PRP6_HUMAN,SP=Yeast;CT=Mixture;QY=4-SP=Yeast;CT=Mixture;QY=1,0.155700238,0.173708043,0.896332924,15,0.384234594,0.480444516,NA,0.347222222,0.347222222
374,sp|O94913|PCF11_HUMAN,SP=Yeast;CT=Mixture;QY=4-SP=Yeast;CT=Mixture;QY=1,-0.204611708,0.064533637,-3.170621044,15,0.006333469,0.016487786,NA,0.25,0.25
377,sp|O94915|FRYL_HUMAN,SP=Yeast;CT=Mixture;QY=4-SP=Yeast;CT=Mixture;QY=1,0.434835811,0.423525586,1.02670494,15,0.320832322,0.4148874,NA,0,0
